SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_SMA50 + CCI_Oversold,Price_Above_SMA50 + CCI_Oversold,combo_2,14,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.063075,0.9762,85.917,0.9286,13.627225,10,10.57547,0.04209,1,0.9286,0.04953,-0.00749,0.045453,85.917,0.04545,1.218,10.57547,,,,,,,,,1.0,0.04711,0.0,0.047114,,0.04711,1.722,0.127587,1.0,0.09666,0.0,0.096658,,0.09666,2.109,0.261755,,,,,,,,,PAGEIND_data,
EMA_Bullish_State + BB_Lower_Touch,EMA_Bullish_State + BB_Lower_Touch,combo_2,19,momentum,Bullish,,,,,,,,,0.8947,0.04273,-0.00706,0.037488,51.467,0.03749,0.901,5.779977,,,,,,,,,0.037226,0.9298,56.465,0.8947,5.634132,5,5.779977,0.01187,1,0.8947,0.03184,-0.00124,0.028361,61.463,0.02836,1.274,5.221903,1.0,0.04583,0.0,0.04583,,0.04583,1.56,0.137296,,,,,,,,,,,,,,,,,,,,,,,,,PAGEIND_data,
RSI_Cross50_Up + EMA_Bullish_State,RSI_Cross50_Up + EMA_Bullish_State,combo_2,41,momentum,Bullish,,,,,,,,,0.9268,0.01391,-0.04157,0.009852,6.503,0.00985,0.911,0.239468,,,,,,,,,0.018598,0.9593,28.302,0.9268,1.823417,15,5.708444,9e-05,1,1.0,0.01546,0.0,0.015458,,0.01546,1.289,0.057776,0.9512,0.03286,-0.01578,0.030484,50.102,0.03048,1.579,5.708444,,,,,,,,,,,,,,,,,,,,,,,,,PAGEIND_data,
RSI_Cross50_Up + CMF_Positive,RSI_Cross50_Up + CMF_Positive,combo_2,37,momentum,Bullish,,,,,,,,,0.973,0.01173,-0.03607,0.010436,19.723,0.01044,0.925,0.748715,,,,,,,,,0.015795,0.973,27.539,1.0,1.582306,15,3.845522,0.00183,1,0.973,0.01418,-0.05422,0.012327,19.96,0.01233,1.308,0.895027,0.973,0.02621,-0.03234,0.024624,42.933,0.02462,1.602,3.845522,,,,,,,,,,,,,,,,,,,,,,,,,PAGEIND_data,
RSI_Cross50_Up + MACD_Hist_Positive,RSI_Cross50_Up + MACD_Hist_Positive,combo_2,25,momentum,Bullish,,,,,,,,,0.92,0.01949,-0.02892,0.015619,10.963,0.01562,0.806,0.557874,,,,,,,,,0.025987,0.92,13.829,1.0,1.170855,15,2.201383,0.08333,1,0.92,0.02957,-0.03633,0.024301,12.762,0.0243,1.14,1.010438,0.92,0.04447,-0.03588,0.038041,17.761,0.03804,1.396,2.201383,,,,,,,,,,,,,,,,,,,,,,,,,PAGEIND_data,
RSI_Cross50_Up + MACD_Bullish_State,RSI_Cross50_Up + MACD_Bullish_State,combo_2,25,momentum,Bullish,,,,,,,,,0.92,0.01949,-0.02892,0.015619,10.963,0.01562,0.806,0.557874,,,,,,,,,0.025987,0.92,13.829,1.0,1.170855,15,2.201383,0.08333,1,0.92,0.02957,-0.03633,0.024301,12.762,0.0243,1.14,1.010438,0.92,0.04447,-0.03588,0.038041,17.761,0.03804,1.396,2.201383,,,,,,,,,,,,,,,,,,,,,,,,,PAGEIND_data,
RSI_Cross50_Up + Price_Above_SMA20,RSI_Cross50_Up + Price_Above_SMA20,combo_2,51,momentum,Bullish,,,,,,,,,0.9412,0.01257,-0.03408,0.009821,11.363,0.00982,0.9,0.440968,,,,,,,,,0.01847,0.9346,14.67,0.9804,1.049641,15,1.906389,0.00437,1,0.9412,0.02015,-0.03508,0.0169,15.83,0.0169,1.273,1.057065,0.9216,0.03388,-0.0323,0.028688,16.818,0.02869,1.559,1.906389,,,,,,,,,,,,,,,,,,,,,,,,,PAGEIND_data,
RSI_Cross50_Up + OBV_Rising,RSI_Cross50_Up + OBV_Rising,combo_2,74,momentum,Bullish,,,,,,,,,0.9054,0.01525,-0.03573,0.010425,6.497,0.01043,0.894,0.292427,,,,,,,,,0.017868,0.9234,12.877,0.9595,0.95317,15,2.155876,0.0003,1,0.9459,0.0176,-0.03637,0.014679,14.615,0.01468,1.265,0.926272,0.9189,0.0335,-0.02813,0.028501,17.52,0.0285,1.549,2.155876,,,,,,,,,,,,,,,,,,,,,,,,,PAGEIND_data,
RSI_Cross50_Up,RSI_Cross50_Up,single,74,momentum,Bullish,,,,,,,,,0.9054,0.01525,-0.03573,0.010425,6.497,0.01043,0.894,0.292427,,,,,,,,,0.017868,0.9234,12.877,0.9595,0.95317,15,2.155876,0.0003,1,0.9459,0.0176,-0.03637,0.014679,14.615,0.01468,1.265,0.926272,0.9189,0.0335,-0.02813,0.028501,17.52,0.0285,1.549,2.155876,,,,,,,,,,,,,,,,,,,,,,,,,PAGEIND_data,
RSI_Bull_Momentum + RSI_Cross50_Up,RSI_Bull_Momentum + RSI_Cross50_Up,combo_2,74,momentum,Bullish,,,,,,,,,0.9054,0.01525,-0.03573,0.010425,6.497,0.01043,0.894,0.292427,,,,,,,,,0.017868,0.9234,12.877,0.9595,0.95317,15,2.155876,0.0003,1,0.9459,0.0176,-0.03637,0.014679,14.615,0.01468,1.265,0.926272,0.9189,0.0335,-0.02813,0.028501,17.52,0.0285,1.549,2.155876,,,,,,,,,,,,,,,,,,,,,,,,,PAGEIND_data,
