SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
OBV_Rising + BB_Expansion_Bull + CMF_Strong_Bull,OBV_Rising + BB_Expansion_Bull + CMF_Strong_Bull,combo_3,34,momentum,Bullish,1.5,,,,,,,0.9118,0.05923,-0.04442,0.050085,16.431,0.05008,,,,,,,0.113434,0.9608,320.292,0.9118,117.775466,0.9706,0.12478,-0.00738,0.120895,624.154,0.12089,1.0,0.16932,0.0,0.169322,,0.16932,,,,,,,,,,,,,,,,,,,PARAS_data,
RSI_Bull_Momentum + BB_Expansion_Bull + CMF_Strong_Bull,RSI_Bull_Momentum + BB_Expansion_Bull + CMF_Strong_Bull,combo_3,18,momentum,Bullish,1.5,,,,,,,0.8333,0.15546,-0.03929,0.123,19.905,0.123,,,,,,,0.219087,0.9074,91.359,0.8889,52.386352,0.9444,0.27784,-0.03194,0.260633,147.894,0.26063,0.9444,0.29248,-0.04685,0.273626,106.279,0.27363,,,,,,,,,,,,,,,,,,,PARAS_data,
Price_Above_SMA20 + BB_Expansion_Bull + CMF_Strong_Bull,Price_Above_SMA20 + BB_Expansion_Bull + CMF_Strong_Bull,combo_3,53,momentum,Bullish,1.5,,,,,,,0.8679,0.06276,-0.04285,0.048814,11.362,0.04881,,,,,,,0.118186,0.9308,101.454,0.8868,42.415061,0.9434,0.13645,-0.03549,0.126719,69.662,0.12672,0.9811,0.18337,-0.04685,0.179024,223.34,0.17902,,,,,,,,,,,,,,,,,,,PARAS_data,
CMF_Positive + BB_Expansion_Bull + CMF_Strong_Bull,CMF_Positive + BB_Expansion_Bull + CMF_Strong_Bull,combo_3,53,momentum,Bullish,1.5,,,,,,,0.8679,0.06276,-0.04285,0.048814,11.362,0.04881,,,,,,,0.118186,0.9308,101.454,0.8868,42.415061,0.9434,0.13645,-0.03549,0.126719,69.662,0.12672,0.9811,0.18337,-0.04685,0.179024,223.34,0.17902,,,,,,,,,,,,,,,,,,,PARAS_data,
BB_Expansion_Bull + CMF_Strong_Bull,BB_Expansion_Bull + CMF_Strong_Bull,combo_2,53,momentum,Bullish,1.5,,,,,,,0.8679,0.06276,-0.04285,0.048814,11.362,0.04881,,,,,,,0.118186,0.9308,101.454,0.8868,42.415061,0.9434,0.13645,-0.03549,0.126719,69.662,0.12672,0.9811,0.18337,-0.04685,0.179024,223.34,0.17902,,,,,,,,,,,,,,,,,,,PARAS_data,
OBV_Trend_Bull + BB_Expansion_Bull + CMF_Strong_Bull,OBV_Trend_Bull + BB_Expansion_Bull + CMF_Strong_Bull,combo_3,53,momentum,Bullish,1.5,,,,,,,0.8679,0.06276,-0.04285,0.048814,11.362,0.04881,,,,,,,0.118186,0.9308,101.454,0.8868,42.415061,0.9434,0.13645,-0.03549,0.126719,69.662,0.12672,0.9811,0.18337,-0.04685,0.179024,223.34,0.17902,,,,,,,,,,,,,,,,,,,PARAS_data,
Stoch_Bull_Zone + CMF_Positive + BB_Expansion_Bull,Stoch_Bull_Zone + CMF_Positive + BB_Expansion_Bull,combo_3,24,momentum,Bullish,1.5,,,,,,,0.9167,0.10457,-0.03336,0.093077,38.017,0.09308,,,,,,,0.09892,0.9306,137.101,0.9583,41.835813,0.9167,0.10031,-0.06281,0.08672,22.755,0.08672,0.9583,0.12251,-0.01059,0.116965,350.532,0.11696,,,,,,,,,,,,,,,,,,,PARAS_data,
MACD_Hist_Positive + BB_Expansion_Bull + CMF_Strong_Bull,MACD_Hist_Positive + BB_Expansion_Bull + CMF_Strong_Bull,combo_3,51,momentum,Bullish,1.5,,,,,,,0.8627,0.03816,-0.04285,0.027044,7.335,0.02704,,,,,,,0.098393,0.9281,86.909,0.8824,29.812771,0.9412,0.11707,-0.03549,0.108097,58.362,0.1081,0.9804,0.16417,-0.04685,0.160037,195.029,0.16004,,,,,,,,,,,,,,,,,,,PARAS_data,
MACD_Bullish_State + BB_Expansion_Bull + CMF_Strong_Bull,MACD_Bullish_State + BB_Expansion_Bull + CMF_Strong_Bull,combo_3,51,momentum,Bullish,1.5,,,,,,,0.8627,0.03816,-0.04285,0.027044,7.335,0.02704,,,,,,,0.098393,0.9281,86.909,0.8824,29.812771,0.9412,0.11707,-0.03549,0.108097,58.362,0.1081,0.9804,0.16417,-0.04685,0.160037,195.029,0.16004,,,,,,,,,,,,,,,,,,,PARAS_data,
VWAP_Bull + BB_Expansion_Bull + CMF_Strong_Bull,VWAP_Bull + BB_Expansion_Bull + CMF_Strong_Bull,combo_3,30,momentum,Bullish,1.5,,,,,,,0.9333,0.0695,-0.05055,0.061496,23.954,0.0615,,,,,,,0.151297,0.9667,51.846,0.9333,25.141042,0.9667,0.16491,-0.06716,0.157176,79.739,0.15718,1.0,0.23522,0.0,0.235219,,0.23522,,,,,,,,,,,,,,,,,,,PARAS_data,
