SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
Price_Above_SMA50 + RSI_Bull_Momentum + Stoch_Oversold,Price_Above_SMA50 + RSI_Bull_Momentum + Stoch_Oversold,combo_3,16,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.044057,0.9375,28078.577,1.0,3504.825455,0.9375,0.02915,-0.05031,0.024181,11.209,0.02418,,,,,,,0.9375,0.05346,-0.07205,0.045616,14.174,0.04562,0.9375,0.06653,-1e-05,0.062373,84210.349,0.06237,,,,,,,PIIND_data,
Price_Above_SMA20 + Price_Above_SMA50 + Stoch_Oversold,Price_Above_SMA20 + Price_Above_SMA50 + Stoch_Oversold,combo_3,12,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.045725,0.9167,21375.113,1.0,2506.897527,0.9167,0.03464,-0.05031,0.027564,8.499,0.02756,,,,,,,0.9167,0.05507,-0.07205,0.044479,10.147,0.04448,0.9167,0.07105,-1e-05,0.06513,64106.694,0.06513,,,,,,,PIIND_data,
OBV_Rising + Stoch_Oversold + RSI_Oversold,OBV_Rising + Stoch_Oversold + RSI_Oversold,combo_3,10,momentum,Bullish,1.5,,,,,,,0.9,0.02817,-0.00641,0.024708,47.44,0.02471,,,,,,,0.032044,0.9,51.757,1.0,3.97695,0.9,0.03266,-0.00647,0.02875,56.075,0.02875,0.9,0.04658,0.00752,0.042674,,0.04267,,,,,,,,,,,,,,,,,,,PIIND_data,
RSI_Bull_Momentum + OBV_Rising + BB_Expansion_Bull,RSI_Bull_Momentum + OBV_Rising + BB_Expansion_Bull,combo_3,49,momentum,Bullish,1.5,,,,,,,0.7959,0.01335,-0.01623,0.007313,4.039,0.00731,,,,,,,0.017897,0.9048,62.854,0.8163,3.592419,0.9388,0.02496,-0.01407,0.02257,32.068,0.02257,0.9796,0.02454,-0.01109,0.023809,152.455,0.02381,,,,,,,,,,,,,,,,,,,PIIND_data,
RSI_Bull_Momentum + MACD_Hist_Rising + BB_Expansion_Bull,RSI_Bull_Momentum + MACD_Hist_Rising + BB_Expansion_Bull,combo_3,33,momentum,Bullish,1.5,,,,,,,0.7576,0.01085,-0.01567,0.004419,3.103,0.00442,,,,,,,0.01768,0.8788,42.884,0.7879,2.106484,0.9091,0.02727,-0.01407,0.023515,21.865,0.02351,0.9697,0.02624,-0.01109,0.025106,103.685,0.02511,,,,,,,,,,,,,,,,,,,PIIND_data,
RSI_Exit_Oversold,RSI_Exit_Oversold,single,17,mean_rev,Bullish,1.0,0.8824,0.0254,-0.01055,0.021167,19.481,0.02117,0.8824,0.02824,-0.01124,0.023596,22.389,0.0236,0.8824,0.02157,-0.00628,0.018294,37.176,0.01829,0.021019,0.8824,26.348,1.0,1.600739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIIND_data,
EMA_Bullish_State + Price_Above_SMA50 + BB_Expansion_Bull,EMA_Bullish_State + Price_Above_SMA50 + BB_Expansion_Bull,combo_3,134,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.031661,0.8806,12.073,0.8433,1.581202,0.7836,0.02613,-0.0227,0.015565,4.381,0.01556,,,,,,,0.9179,0.0412,-0.04336,0.034261,12.847,0.03426,0.9403,0.05134,-0.05219,0.045158,18.991,0.04516,,,,,,,PIIND_data,
RSI_Exit_Oversold + OBV_Rising,RSI_Exit_Oversold + OBV_Rising,combo_2,17,momentum,Bullish,1.5,,,,,,,0.8824,0.02824,-0.01124,0.023596,22.389,0.0236,,,,,,,0.027513,0.9412,22.389,0.8824,1.570965,0.9412,0.03394,0.00431,0.032199,,0.0322,1.0,0.02674,0.0,0.026744,,0.02674,,,,,,,,,,,,,,,,,,,PIIND_data,
Price_Above_SMA50 + RSI_Bull_Momentum + BB_Expansion_Bull,Price_Above_SMA50 + RSI_Bull_Momentum + BB_Expansion_Bull,combo_3,111,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.033027,0.9009,11.194,0.8919,1.555884,0.8378,0.03065,-0.01829,0.022717,8.319,0.02272,,,,,,,0.9189,0.04599,-0.05207,0.03804,11.645,0.03804,0.9459,0.04509,-0.0801,0.038324,13.618,0.03832,,,,,,,PIIND_data,
Price_Above_SMA50 + CMF_Strong_Bull + CDL_Engulfing_Bull,Price_Above_SMA50 + CMF_Strong_Bull + CDL_Engulfing_Bull,combo_3,18,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.024612,0.9074,25.15,0.7778,1.417547,0.7778,0.03037,-0.0275,0.017507,4.328,0.01751,,,,,,,0.9444,0.02233,-0.01306,0.020364,45.972,0.02036,1.0,0.03597,0.0,0.035965,,0.03597,,,,,,,PIIND_data,
