SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
RSI_Bull_Momentum + CMF_Strong_Bull,RSI_Bull_Momentum + CMF_Strong_Bull,combo_2,18,momentum,Bullish,,,,,,,,,1.0,0.06188,0.0,0.061875,,0.06188,1.501,0.182189,,,,,,,,,0.078,0.963,23.873,0.9444,5.178266,10,12.828234,0.04191,1,0.9444,0.12459,-0.0617,0.11424,38.137,0.11424,2.122,12.828234,0.9444,0.06988,-0.14602,0.057884,9.609,0.05788,2.599,1.637811,,,,,,,,,,,,,,,,,,,,,,,,,PLAZACABLE_data,
EMA_Bullish_State + CMF_Positive,EMA_Bullish_State + CMF_Positive,combo_2,13,momentum,Bullish,,,,,,,,,0.8462,0.07078,-0.0454,0.052906,10.549,0.05291,1.36,1.472807,,,,,,,,,0.085803,0.9231,23.247,0.8462,4.454208,10,14.691809,0.03024,1,0.9231,0.17349,-0.06849,0.154874,35.946,0.15487,1.923,14.691809,1.0,0.04963,0.0,0.049629,,0.04963,2.355,0.130974,,,,,,,,,,,,,,,,,,,,,,,,,PLAZACABLE_data,
BB_Expansion_Bull + CMF_Positive,BB_Expansion_Bull + CMF_Positive,combo_2,13,momentum,Bullish,,,,,,,,,0.9231,0.01411,-0.10342,0.005068,3.117,0.00507,1.607,0.041695,,,,,,,,,0.120707,0.8718,9.533,0.9231,2.803205,10,6.244848,0.35978,0,0.8462,0.19954,-0.07652,0.157067,15.066,0.15707,2.273,6.244848,0.8462,0.26235,-0.14301,0.199987,10.416,0.19999,2.784,5.497519,,,,,,,,,,,,,,,,,,,,,,,,,PLAZACABLE_data,
CMF_Positive + CMF_Strong_Bull,CMF_Positive + CMF_Strong_Bull,combo_2,20,momentum,Bullish,,,,,,,,,0.95,0.05423,-0.10342,0.046351,12.168,0.04635,1.482,1.717147,,,,,,,,,0.05952,0.9167,10.817,0.95,1.862061,10,4.367212,0.11681,0,0.9,0.11216,-0.07652,0.093293,15.376,0.09329,2.096,4.367212,0.9,0.05913,-0.14301,0.038914,4.906,0.03891,2.567,0.581231,,,,,,,,,,,,,,,,,,,,,,,,,PLAZACABLE_data,
Price_Above_SMA20 + CMF_Strong_Bull,Price_Above_SMA20 + CMF_Strong_Bull,combo_2,20,momentum,Bullish,,,,,,,,,0.95,0.05423,-0.10342,0.046351,12.168,0.04635,1.482,1.717147,,,,,,,,,0.05952,0.9167,10.817,0.95,1.862061,10,4.367212,0.11681,0,0.9,0.11216,-0.07652,0.093293,15.376,0.09329,2.096,4.367212,0.9,0.05913,-0.14301,0.038914,4.906,0.03891,2.567,0.581231,,,,,,,,,,,,,,,,,,,,,,,,,PLAZACABLE_data,
CMF_Strong_Bull,CMF_Strong_Bull,single,20,momentum,Bullish,,,,,,,,,0.95,0.05423,-0.10342,0.046351,12.168,0.04635,1.482,1.717147,,,,,,,,,0.05952,0.9167,10.817,0.95,1.862061,10,4.367212,0.11681,0,0.9,0.11216,-0.07652,0.093293,15.376,0.09329,2.096,4.367212,0.9,0.05913,-0.14301,0.038914,4.906,0.03891,2.567,0.581231,,,,,,,,,,,,,,,,,,,,,,,,,PLAZACABLE_data,
CMF_Strong_Bull + OBV_Trend_Bull,CMF_Strong_Bull + OBV_Trend_Bull,combo_2,20,momentum,Bullish,,,,,,,,,0.95,0.05423,-0.10342,0.046351,12.168,0.04635,1.482,1.717147,,,,,,,,,0.05952,0.9167,10.817,0.95,1.862061,10,4.367212,0.11681,0,0.9,0.11216,-0.07652,0.093293,15.376,0.09329,2.096,4.367212,0.9,0.05913,-0.14301,0.038914,4.906,0.03891,2.567,0.581231,,,,,,,,,,,,,,,,,,,,,,,,,PLAZACABLE_data,
MACD_Hist_Positive + CMF_Strong_Bull,MACD_Hist_Positive + CMF_Strong_Bull,combo_2,19,momentum,Bullish,,,,,,,,,0.9474,0.05408,-0.10342,0.045794,11.618,0.04579,1.465,1.593764,,,,,,,,,0.058678,0.9123,10.369,0.9474,1.726784,10,4.243278,0.14043,0,0.8947,0.11491,-0.07652,0.094758,14.948,0.09476,2.071,4.243278,0.8947,0.05648,-0.14301,0.035482,4.542,0.03548,2.537,0.482769,,,,,,,,,,,,,,,,,,,,,,,,,PLAZACABLE_data,
MACD_Bullish_State + CMF_Strong_Bull,MACD_Bullish_State + CMF_Strong_Bull,combo_2,19,momentum,Bullish,,,,,,,,,0.9474,0.05408,-0.10342,0.045794,11.618,0.04579,1.465,1.593764,,,,,,,,,0.058678,0.9123,10.369,0.9474,1.726784,10,4.243278,0.14043,0,0.8947,0.11491,-0.07652,0.094758,14.948,0.09476,2.071,4.243278,0.8947,0.05648,-0.14301,0.035482,4.542,0.03548,2.537,0.482769,,,,,,,,,,,,,,,,,,,,,,,,,PLAZACABLE_data,
Price_Above_SMA50 + CMF_Strong_Bull,Price_Above_SMA50 + CMF_Strong_Bull,combo_2,16,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.06982,0.875,8.093,1.0,1.600938,10,5.272025,0.18488,0,0.875,0.15099,-0.07652,0.122551,15.184,0.12255,2.174,5.272025,,,,,,,,,0.875,0.07843,-0.12526,0.052965,5.509,0.05297,3.074,0.826685,0.875,0.06301,-0.16949,0.033945,3.586,0.03394,3.765,0.344916,,,,,,,,,PLAZACABLE_data,
