SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
OBV_Trend_Bull + CCI_Oversold,OBV_Trend_Bull + CCI_Oversold,combo_2,25,momentum,Bullish,,,,,,,,,0.88,0.05947,-0.00125,0.052186,59.055,0.05219,2.243,10.040956,,,,,,,,,0.065996,0.8933,30.083,0.96,6.209675,5,10.040956,0.06383,1,0.92,0.08367,-0.05723,0.072401,21.206,0.0724,3.172,5.002212,0.88,0.09521,-0.08651,0.0734,9.988,0.0734,3.885,2.388493,,,,,,,,,,,,,,,,,,,,,,,,,PRITI_data,
Price_Above_SMA50 + CDL_DragonFlyDoji,Price_Above_SMA50 + CDL_DragonFlyDoji,combo_2,16,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.15338,0.9792,14.172,0.9375,5.773818,10,2.087344,0.01558,1,0.9375,0.06112,-0.08503,0.051984,14.172,0.05198,2.556,2.087344,,,,,,,,,1.0,0.17484,0.0,0.174836,,0.17484,3.614,0.495347,1.0,0.23332,0.0,0.233321,,0.23332,4.426,0.661049,,,,,,,,,PRITI_data,
Stoch_Oversold + CMF_Positive,Stoch_Oversold + CMF_Positive,combo_2,17,momentum,Bullish,,,,,,,,,0.8824,0.10965,-0.05854,0.089859,15.131,0.08986,2.076,3.930049,,,,,,,,,0.109252,0.8235,10.589,0.8824,2.950371,15,4.013738,0.36833,0,0.7647,0.14443,-0.07203,0.0935,7.018,0.0935,2.935,1.896681,0.8235,0.19735,-0.1027,0.144398,9.617,0.1444,3.595,4.013738,,,,,,,,,,,,,,,,,,,,,,,,,PRITI_data,
OBV_Rising + CDL_Marubozu_Bull,OBV_Rising + CDL_Marubozu_Bull,combo_2,29,momentum,Bullish,,,,,,,,,0.9231,0.06326,-0.04648,0.054821,19.659,0.05482,1.712,3.665606,,,,,,,,,0.046894,0.9744,19.659,0.9231,2.894371,5,3.665606,0.0012,1,1.0,0.04563,0.0,0.045628,,0.04563,2.421,0.15519,1.0,0.04023,0.0,0.040232,,0.04023,2.965,0.136838,,,,,,,,,,,,,,,,,,,,,,,,,PRITI_data,
MACD_Hist_Rising + CDL_Marubozu_Bull,MACD_Hist_Rising + CDL_Marubozu_Bull,combo_2,19,momentum,Bullish,,,,,,,,,0.9474,0.06364,-0.06278,0.056989,21.738,0.05699,1.736,3.711141,,,,,,,,,0.043604,0.9825,21.738,0.9474,2.690075,5,3.711141,0.00746,1,1.0,0.03396,0.0,0.033961,,0.03396,2.456,0.101737,1.0,0.03986,0.0,0.039863,,0.03986,3.008,0.11942,,,,,,,,,,,,,,,,,,,,,,,,,PRITI_data,
RSI_Oversold + VWAP_Bull,RSI_Oversold + VWAP_Bull,combo_2,12,momentum,Bullish,,,,,,,,,1.0,-0.00064,0.0,-0.000641,,-0.00064,2.028,-0.001643,,,,,,,,,0.041519,0.9444,20.557,0.9167,2.006777,15,4.91164,0.0859,1,0.9167,0.0491,-0.04522,0.041236,18.307,0.04124,2.869,1.936321,0.9167,0.09751,-0.06511,0.083963,22.807,0.08396,3.513,4.91164,,,,,,,,,,,,,,,,,,,,,,,,,PRITI_data,
OBV_Trend_Bull + Williams_Oversold,OBV_Trend_Bull + Williams_Oversold,combo_2,63,momentum,Bullish,,,,,,,,,0.873,0.05626,-0.04576,0.043303,8.89,0.0433,2.22,1.601092,,,,,,,,,0.050665,0.873,8.863,0.9683,1.808308,10,3.071834,0.0193,1,0.8889,0.07525,-0.05695,0.060559,12.197,0.06056,3.139,3.071834,0.8571,0.07099,-0.08901,0.048132,5.503,0.04813,3.844,1.101591,,,,,,,,,,,,,,,,,,,,,,,,,PRITI_data,
Price_Above_SMA50 + CMF_Strong_Bull,Price_Above_SMA50 + CMF_Strong_Bull,combo_2,96,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.083568,0.7396,4.817,0.9167,1.687912,30,3.012462,0.63859,0,0.7708,0.04406,-0.07517,0.016737,3.585,0.01674,2.839,0.274502,,,,,,,,,0.7604,0.15845,-0.09941,0.096674,6.068,0.09667,4.015,2.683706,0.6875,0.26269,-0.13858,0.137292,4.796,0.13729,4.917,3.012462,,,,,,,,,PRITI_data,
BB_Lower_Touch + VWAP_Bull,BB_Lower_Touch + VWAP_Bull,combo_2,26,momentum,Bullish,,,,,,,,,0.9231,0.02099,-0.05201,0.015371,8.244,0.01537,1.91,0.417643,,,,,,,,,0.030721,0.9359,16.903,0.9615,1.645678,15,6.822887,0.01054,1,0.9231,0.02445,-0.0723,0.01701,7.838,0.01701,2.701,0.439427,0.9615,0.06478,-0.06511,0.059783,34.628,0.05978,3.308,6.822887,,,,,,,,,,,,,,,,,,,,,,,,,PRITI_data,
Golden_Cross_State + MACD_Hist_Positive,Golden_Cross_State + MACD_Hist_Positive,combo_2,186,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.057095,0.8333,5.755,0.9516,1.635611,30,3.704855,0.00324,1,0.8011,0.04042,-0.07025,0.018406,3.937,0.01841,2.507,0.379072,,,,,,,,,0.8495,0.07824,-0.09414,0.05229,6.286,0.05229,3.546,1.719528,0.8495,0.14231,-0.1348,0.10059,7.041,0.10059,4.343,3.704855,,,,,,,,,PRITI_data,
