SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
EMA_Bullish_State + Williams_Oversold + CCI_Oversold,EMA_Bullish_State + Williams_Oversold + CCI_Oversold,combo_3,24,momentum,Bullish,1.5,,,,,,,0.9583,0.01957,-0.02197,0.017835,28.981,0.01783,,,,,,,0.046889,0.9583,96.902,1.0,14.625569,0.9583,0.05482,-0.01131,0.052064,126.725,0.05206,0.9583,0.07443,-0.01354,0.070769,135.0,0.07077,,,,,,,,,,,,,,,,,,,RELAXO_data,
MACD_Hist_Rising + CDL_HaramiCross_Bull,MACD_Hist_Rising + CDL_HaramiCross_Bull,combo_2,11,momentum,Bullish,1.5,,,,,,,0.9091,0.02081,-0.00054,0.01887,551.725,0.01887,,,,,,,0.00751,0.9697,551.725,0.9091,9.360693,1.0,0.00866,0.0,0.00866,,0.00866,1.0,-0.005,0.0,-0.004998,,-0.005,,,,,,,,,,,,,,,,,,,RELAXO_data,
EMA_Bullish_State + CCI_Oversold + Stoch_Oversold,EMA_Bullish_State + CCI_Oversold + Stoch_Oversold,combo_3,16,momentum,Bullish,1.5,,,,,,,0.9375,0.00999,-0.02197,0.007994,13.024,0.00799,,,,,,,0.043964,0.9375,61.716,1.0,7.687211,0.9375,0.05956,-0.01131,0.055129,87.104,0.05513,0.9375,0.07425,-0.01354,0.068768,85.02,0.06877,,,,,,,,,,,,,,,,,,,RELAXO_data,
Price_Above_SMA50 + RSI_Bull_Momentum + Stoch_Oversold,Price_Above_SMA50 + RSI_Bull_Momentum + Stoch_Oversold,combo_3,16,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.025053,0.8333,110.66,0.75,5.890889,0.6875,0.0222,-0.056,-0.002236,1.013,-0.00224,,,,,,,0.875,0.04012,-0.0106,0.03378,36.389,0.03378,0.9375,0.0467,-0.0027,0.043613,294.577,0.04361,,,,,,,RELAXO_data,
Price_Above_SMA20 + Price_Above_SMA50 + Stoch_Oversold,Price_Above_SMA20 + Price_Above_SMA50 + Stoch_Oversold,combo_3,14,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.028079,0.7857,90.369,0.8571,5.889949,0.7143,0.02596,-0.03634,0.00816,1.951,0.00816,,,,,,,0.7857,0.04853,-0.0058,0.036887,31.074,0.03689,0.8571,0.04566,0.00039,0.039189,238.083,0.03919,,,,,,,RELAXO_data,
EMA_Bullish_State + VWAP_Bull + CDL_Harami_Bull,EMA_Bullish_State + VWAP_Bull + CDL_Harami_Bull,combo_3,16,momentum,Bullish,1.5,,,,,,,0.9375,0.02831,-0.04123,0.023961,13.46,0.02396,,,,,,,0.026504,0.9375,51.987,1.0,3.903827,0.9375,0.0208,-0.01524,0.018551,42.733,0.01855,0.9375,0.04006,-0.00896,0.037,99.768,0.037,,,,,,,,,,,,,,,,,,,RELAXO_data,
EMA_Bullish_State + CCI_Oversold,EMA_Bullish_State + CCI_Oversold,combo_2,41,momentum,Bullish,1.5,,,,,,,0.8537,0.01955,-0.01505,0.014488,9.762,0.01449,,,,,,,0.032813,0.8699,17.686,0.9756,2.11618,0.878,0.04553,-0.02122,0.037387,17.348,0.03739,0.878,0.0553,-0.01635,0.046562,25.948,0.04656,,,,,,,,,,,,,,,,,,,RELAXO_data,
OBV_Trend_Bull + CDL_Bullish3Outside,OBV_Trend_Bull + CDL_Bullish3Outside,combo_2,14,momentum,Bullish,1.5,,,,,,,0.7857,0.01927,-0.00093,0.01494,38.976,0.01494,,,,,,,0.018083,0.9048,46.4,0.7857,1.78525,0.9286,0.02335,-0.00714,0.021168,53.824,0.02117,1.0,0.01814,0.0,0.01814,,0.01814,,,,,,,,,,,,,,,,,,,RELAXO_data,
EMA_Bullish_State + Stoch_Oversold,EMA_Bullish_State + Stoch_Oversold,combo_2,45,momentum,Bullish,1.5,,,,,,,0.8889,0.01027,-0.01157,0.007845,11.504,0.00784,,,,,,,0.024613,0.9037,18.835,0.9778,1.735424,0.9111,0.02979,-0.01739,0.025592,23.539,0.02559,0.9111,0.04686,-0.02577,0.040401,21.462,0.0404,,,,,,,,,,,,,,,,,,,RELAXO_data,
Williams_Oversold + CCI_Oversold + CDL_Harami_Bull,Williams_Oversold + CCI_Oversold + CDL_Harami_Bull,combo_3,17,mean_rev,Bullish,1.0,0.8235,0.01168,-0.01424,0.007106,4.815,0.00711,0.8824,0.02901,-0.00891,0.024548,27.307,0.02455,0.9412,0.04419,-0.01605,0.040643,44.999,0.04064,0.024099,0.8824,25.707,0.8824,1.579971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RELAXO_data,
