SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
CMF_Positive + Williams_Oversold + CCI_Oversold,CMF_Positive + Williams_Oversold + CCI_Oversold,combo_3,29,momentum,Bullish,1.5,,,,,,,0.7931,0.00927,-0.04174,-0.00128,1.522,-0.00128,,,,,,,0.02799,0.8736,374.169,0.8276,29.478947,0.8621,0.04427,-0.03804,0.032913,8.914,0.03291,0.9655,0.05427,-0.00178,0.052336,1112.071,0.05234,,,,,,,,,,,,,,,,,,,RHIM_data,
CDL_Harami_Bull,CDL_Harami_Bull,single,67,candle,Bullish,0.5,0.9851,0.01248,-0.03151,0.01182,42.636,0.01182,0.9851,0.01358,-0.00237,0.013339,730.546,0.01334,,,,,,,0.012024,0.9801,268.604,0.9851,13.424516,,,,,,,,,,,,,,,,,,,,,,,,,0.9701,0.01181,-0.01837,0.010913,32.629,0.01091,RHIM_data,
CMF_Positive + Williams_Oversold + CMF_Strong_Bull,CMF_Positive + Williams_Oversold + CMF_Strong_Bull,combo_3,18,momentum,Bullish,1.5,,,,,,,0.9444,0.01805,-0.07907,0.012652,5.03,0.01265,,,,,,,0.024838,0.9444,170.546,1.0,12.472433,0.9444,0.03045,-0.05643,0.025625,10.868,0.02562,0.9444,0.03847,-0.00178,0.036236,495.739,0.03624,,,,,,,,,,,,,,,,,,,RHIM_data,
CMF_Strong_Bull + Williams_Oversold,CMF_Strong_Bull + Williams_Oversold,combo_2,18,momentum,Bullish,1.5,,,,,,,0.9444,0.01805,-0.07907,0.012652,5.03,0.01265,,,,,,,0.024838,0.9444,170.546,1.0,12.472433,0.9444,0.03045,-0.05643,0.025625,10.868,0.02562,0.9444,0.03847,-0.00178,0.036236,495.739,0.03624,,,,,,,,,,,,,,,,,,,RHIM_data,
CDL_Harami_Bull + CDL_HaramiCross_Bull,CDL_Harami_Bull + CDL_HaramiCross_Bull,combo_2,20,candle,Bullish,0.5,1.0,0.00326,0.0,0.003261,,0.00326,1.0,0.00035,0.0,0.000348,,0.00035,,,,,,,0.003304,0.9833,1202.201,0.95,11.489599,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.00665,-0.00028,0.006304,1202.201,0.0063,RHIM_data,
CDL_HaramiCross_Bull,CDL_HaramiCross_Bull,single,20,candle,Bullish,0.5,1.0,0.00326,0.0,0.003261,,0.00326,1.0,0.00035,0.0,0.000348,,0.00035,,,,,,,0.003304,0.9833,1202.201,0.95,11.489599,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.00665,-0.00028,0.006304,1202.201,0.0063,RHIM_data,
Stoch_Bull_Zone + CDL_Bullish3Outside,Stoch_Bull_Zone + CDL_Bullish3Outside,combo_2,12,momentum,Bullish,1.5,,,,,,,0.9167,0.04573,-0.01113,0.040992,51.603,0.04099,,,,,,,0.058962,0.9167,34.528,1.0,5.221804,0.9167,0.06342,-0.02374,0.056154,33.196,0.05615,0.9167,0.09282,-0.06414,0.079741,18.784,0.07974,,,,,,,,,,,,,,,,,,,RHIM_data,
CMF_Positive + Williams_Oversold,CMF_Positive + Williams_Oversold,combo_2,56,momentum,Bullish,1.5,,,,,,,0.875,0.01347,-0.04161,0.006584,3.554,0.00658,,,,,,,0.025539,0.9167,51.291,0.9107,4.82316,0.9107,0.02927,-0.03792,0.023268,11.572,0.02327,0.9643,0.04897,-0.01279,0.046764,138.747,0.04676,,,,,,,,,,,,,,,,,,,RHIM_data,
Stoch_Cross_Up + CCI_Oversold,Stoch_Cross_Up + CCI_Oversold,combo_2,36,mean_rev,Bullish,1.0,0.9444,0.00277,-0.02152,0.001423,12.363,0.00142,0.9722,0.01226,-0.0043,0.011798,211.294,0.0118,0.9722,0.0154,-0.00539,0.014824,211.274,0.01482,0.009348,0.963,144.977,0.9722,4.757924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RHIM_data,
VWAP_Bull + Price_Above_SMA50 + BB_Expansion_Bull,VWAP_Bull + Price_Above_SMA50 + BB_Expansion_Bull,combo_3,133,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.067715,0.9173,14.252,0.9173,4.335728,0.8722,0.03497,-0.04812,0.024353,5.933,0.02435,,,,,,,0.9248,0.09701,-0.06777,0.084622,18.161,0.08462,0.9549,0.10455,-0.12552,0.094171,18.661,0.09417,,,,,,,RHIM_data,
CMF_Positive + Williams_Oversold + Stoch_Oversold,CMF_Positive + Williams_Oversold + Stoch_Oversold,combo_3,30,momentum,Bullish,1.5,,,,,,,0.9333,0.01363,-0.0149,0.01173,18.784,0.01173,,,,,,,0.024124,0.9667,50.609,0.9333,3.913022,0.9667,0.02075,-0.0124,0.019648,82.434,0.01965,1.0,0.04099,0.0,0.040993,,0.04099,,,,,,,,,,,,,,,,,,,RHIM_data,
EMA_Bullish_State + Williams_Oversold + BB_Lower_Touch,EMA_Bullish_State + Williams_Oversold + BB_Lower_Touch,combo_3,16,momentum,Bullish,1.5,,,,,,,0.9375,0.00944,-0.00259,0.008691,127.157,0.00869,,,,,,,0.011053,0.9792,127.157,0.9375,3.733222,1.0,0.02917,0.0,0.029168,,0.02917,1.0,-0.0047,0.0,-0.004699,,-0.0047,,,,,,,,,,,,,,,,,,,RHIM_data,
EMA_Bullish_State + Stoch_Oversold + BB_Lower_Touch,EMA_Bullish_State + Stoch_Oversold + BB_Lower_Touch,combo_3,13,momentum,Bullish,1.5,,,,,,,0.9231,0.00295,-0.00259,0.002521,81.336,0.00252,,,,,,,0.018455,0.9744,81.336,0.9231,3.656655,1.0,0.04183,0.0,0.041833,,0.04183,1.0,0.01101,0.0,0.011011,,0.01101,,,,,,,,,,,,,,,,,,,RHIM_data,
Price_Above_SMA50 + Price_Above_SMA20 + Stoch_Oversold,Price_Above_SMA50 + Price_Above_SMA20 + Stoch_Oversold,combo_3,17,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.045589,0.9216,32.508,0.8235,3.527577,0.8235,0.02471,-0.04427,0.012536,3.142,0.01254,,,,,,,0.9412,0.06955,-0.01851,0.06437,61.874,0.06437,1.0,0.05986,0.0,0.05986,,0.05986,,,,,,,RHIM_data,
EMA_Bullish_State + BB_Lower_Touch,EMA_Bullish_State + BB_Lower_Touch,combo_2,18,momentum,Bullish,1.5,,,,,,,0.9444,0.00976,-0.00259,0.009075,139.214,0.00908,,,,,,,0.008688,0.9815,139.214,0.9444,3.363388,1.0,0.02495,0.0,0.024952,,0.02495,1.0,-0.00796,0.0,-0.007964,,-0.00796,,,,,,,,,,,,,,,,,,,RHIM_data,
