SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
OBV_Rising + CDL_Harami_Bull,OBV_Rising + CDL_Harami_Bull,combo_2,20,momentum,Bullish,0.8947,0.03563,-0.02708,0.029029,11.797,0.02903,1.272,1.042557,0.9474,0.0423,-0.00137,0.04,580.719,0.04,1.799,70.72,0.9474,0.05507,-0.06839,0.048573,14.86,0.04857,2.203,2.197502,0.039201,0.9298,202.459,0.9474,22.891078,10,70.72,0.36246,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAILIFE_data,
Price_Above_SMA50 + Stoch_Cross_Up,Price_Above_SMA50 + Stoch_Cross_Up,combo_2,32,trend,Bullish,,,,,,,,,0.9062,0.0289,-0.04552,0.021923,7.754,0.02192,1.646,0.594385,,,,,,,,,0.036044,0.9583,161.152,0.9062,18.405614,20,43.553008,0.16264,0,0.9688,0.04104,-0.00505,0.0396,314.55,0.0396,2.328,43.553008,1.0,0.04661,0.0,0.046609,,0.04661,2.851,0.162968,,,,,,,,,,,,,,,,,,,,,,,,,SAILIFE_data,
Golden_Cross_State + Stoch_Cross_Up,Golden_Cross_State + Stoch_Cross_Up,combo_2,19,trend,Bullish,,,,,,,,,0.8947,0.03333,-0.05212,0.024332,6.285,0.02433,1.554,0.458142,,,,,,,,,0.045716,0.9474,117.667,0.8947,14.418555,20,32.278582,0.3478,0,0.9474,0.04994,-0.00505,0.047042,229.048,0.04704,2.198,32.278582,1.0,0.06577,0.0,0.065775,,0.06577,2.692,0.197044,,,,,,,,,,,,,,,,,,,,,,,,,SAILIFE_data,
OBV_Rising + CCI_Oversold,OBV_Rising + CCI_Oversold,combo_2,10,momentum,Bullish,0.9,0.0344,-0.03917,0.027039,7.904,0.02704,1.39,0.512455,0.9,0.04546,-0.00137,0.040781,299.66,0.04078,1.966,29.303075,1.0,0.05645,0.0,0.056452,,0.05645,2.407,0.135367,0.041424,0.9333,153.782,0.9,13.747752,10,29.303075,0.3405,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAILIFE_data,
Price_Above_EMA200 + Stoch_Cross_Up,Price_Above_EMA200 + Stoch_Cross_Up,combo_2,18,trend,Bullish,,,,,,,,,0.8889,0.03361,-0.05212,0.024086,6.009,0.02409,1.55,0.426194,,,,,,,,,0.040863,0.9444,103.714,0.8889,11.092102,20,24.84805,0.36826,0,0.9444,0.04466,-0.00505,0.041898,201.419,0.0419,2.192,24.84805,1.0,0.0566,0.0,0.056604,,0.0566,2.685,0.166666,,,,,,,,,,,,,,,,,,,,,,,,,SAILIFE_data,
OBV_Rising + Williams_Oversold,OBV_Rising + Williams_Oversold,combo_2,11,momentum,Bullish,0.9091,0.02375,-0.03917,0.018031,7.126,0.01803,1.337,0.319286,0.9091,0.03126,-0.00137,0.028291,283.672,0.02829,1.891,19.942448,1.0,0.04885,0.0,0.048852,,0.04885,2.316,0.121393,0.031725,0.9394,145.399,0.9091,10.420242,10,19.942448,0.30517,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAILIFE_data,
MACD_Hist_Rising + Stoch_Cross_Up,MACD_Hist_Rising + Stoch_Cross_Up,combo_2,30,momentum,Bullish,0.9,0.01364,-0.03303,0.008972,5.087,0.00897,1.176,0.156735,0.9333,0.0275,-0.02954,0.0237,15.401,0.0237,1.664,1.253443,0.9667,0.03847,-0.00469,0.037027,279.759,0.03703,2.038,35.571687,0.023233,0.9333,100.083,0.9333,7.452447,15,35.571687,0.16751,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAILIFE_data,
Stoch_Cross_Up + OBV_Rising,Stoch_Cross_Up + OBV_Rising,combo_2,35,momentum,Bullish,0.9118,0.00635,-0.03303,0.002873,5.127,0.00287,1.239,0.052783,0.9412,0.02039,-0.02954,0.017455,16.635,0.01746,1.753,1.040559,0.9706,0.03936,-0.00469,0.038063,305.753,0.03806,2.146,41.704859,0.019464,0.9412,109.172,0.9412,7.166709,15,41.704859,0.11711,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAILIFE_data,
RSI_Bull_Momentum + Stoch_Cross_Up,RSI_Bull_Momentum + Stoch_Cross_Up,combo_2,30,momentum,Bullish,0.9,0.01135,-0.03303,0.006916,4.99,0.00692,1.192,0.118496,0.9333,0.02847,-0.02954,0.024599,17.007,0.0246,1.686,1.436597,0.9667,0.03256,-0.00469,0.031317,254.794,0.03132,2.065,27.400953,0.020944,0.9333,92.263,0.9333,6.193279,15,27.400953,0.16751,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAILIFE_data,
Price_Above_SMA20 + Stoch_Cross_Up,Price_Above_SMA20 + Stoch_Cross_Up,combo_2,27,momentum,Bullish,0.9259,0.01083,-0.04442,0.006735,5.396,0.00673,1.199,0.121104,0.963,0.0281,-0.03231,0.025862,29.087,0.02586,1.695,2.50666,0.963,0.03186,-0.00469,0.030506,230.083,0.03051,2.076,23.388221,0.021034,0.9506,88.189,0.963,5.952271,15,23.388221,0.17846,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAILIFE_data,
