SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
OBV_Trend_Bull + Stoch_Bull_Zone + Stoch_Cross_Up,OBV_Trend_Bull + Stoch_Bull_Zone + Stoch_Cross_Up,combo_3,52,momentum,Bullish,1.5,,,,,,,0.9808,0.02232,-0.01816,0.02154,143.638,0.02154,,,,,,,0.035478,0.9872,144.106,0.9808,19.908266,0.9808,0.03634,-0.02654,0.035127,144.574,0.03513,1.0,0.04977,0.0,0.049767,,0.04977,,,,,,,,,,,,,,,,,,,SAMBHAAV_data,
MACD_Bullish_State + MACD_Hist_Positive + Golden_Cross_State,MACD_Bullish_State + MACD_Hist_Positive + Golden_Cross_State,combo_3,32,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.136289,0.9688,41.084,1.0,19.577866,0.9688,0.09786,-0.07764,0.092378,43.332,0.09238,,,,,,,0.9688,0.15628,-0.12161,0.147593,43.841,0.14759,0.9688,0.18005,-0.1768,0.168897,36.078,0.1689,,,,,,,SAMBHAAV_data,
VWAP_Bull + MACD_Hist_Positive + Golden_Cross_State,VWAP_Bull + MACD_Hist_Positive + Golden_Cross_State,combo_3,32,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.136289,0.9688,41.084,1.0,19.577866,0.9688,0.09786,-0.07764,0.092378,43.332,0.09238,,,,,,,0.9688,0.15628,-0.12161,0.147593,43.841,0.14759,0.9688,0.18005,-0.1768,0.168897,36.078,0.1689,,,,,,,SAMBHAAV_data,
Golden_Cross_State + MACD_Bullish_State,Golden_Cross_State + MACD_Bullish_State,combo_2,32,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.136289,0.9688,41.084,1.0,19.577866,0.9688,0.09786,-0.07764,0.092378,43.332,0.09238,,,,,,,0.9688,0.15628,-0.12161,0.147593,43.841,0.14759,0.9688,0.18005,-0.1768,0.168897,36.078,0.1689,,,,,,,SAMBHAAV_data,
Golden_Cross_State + MACD_Hist_Positive,Golden_Cross_State + MACD_Hist_Positive,combo_2,32,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.136289,0.9688,41.084,1.0,19.577866,0.9688,0.09786,-0.07764,0.092378,43.332,0.09238,,,,,,,0.9688,0.15628,-0.12161,0.147593,43.841,0.14759,0.9688,0.18005,-0.1768,0.168897,36.078,0.1689,,,,,,,SAMBHAAV_data,
VWAP_Bull + MACD_Bullish_State + Golden_Cross_State,VWAP_Bull + MACD_Bullish_State + Golden_Cross_State,combo_3,32,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.136289,0.9688,41.084,1.0,19.577866,0.9688,0.09786,-0.07764,0.092378,43.332,0.09238,,,,,,,0.9688,0.15628,-0.12161,0.147593,43.841,0.14759,0.9688,0.18005,-0.1768,0.168897,36.078,0.1689,,,,,,,SAMBHAAV_data,
OBV_Trend_Bull + RSI_Bull_Momentum + Stoch_Cross_Up,OBV_Trend_Bull + RSI_Bull_Momentum + Stoch_Cross_Up,combo_3,39,momentum,Bullish,1.5,,,,,,,0.9744,0.03771,-0.01816,0.03628,134.537,0.03628,,,,,,,0.040415,0.9829,122.928,0.9744,17.857026,0.9744,0.04145,-0.02654,0.039711,111.319,0.03971,1.0,0.04525,0.0,0.045255,,0.04525,,,,,,,,,,,,,,,,,,,SAMBHAAV_data,
MACD_Hist_Positive + OBV_Trend_Bull + Golden_Cross_State,MACD_Hist_Positive + OBV_Trend_Bull + Golden_Cross_State,combo_3,31,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.13045,0.9677,38.683,1.0,17.488886,0.9677,0.09766,-0.07764,0.092007,41.994,0.09201,,,,,,,0.9677,0.14764,-0.12161,0.138951,40.425,0.13895,0.9677,0.17163,-0.1768,0.160392,33.631,0.16039,,,,,,,SAMBHAAV_data,
MACD_Bullish_State + OBV_Trend_Bull + Golden_Cross_State,MACD_Bullish_State + OBV_Trend_Bull + Golden_Cross_State,combo_3,31,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.13045,0.9677,38.683,1.0,17.488886,0.9677,0.09766,-0.07764,0.092007,41.994,0.09201,,,,,,,0.9677,0.14764,-0.12161,0.138951,40.425,0.13895,0.9677,0.17163,-0.1768,0.160392,33.631,0.16039,,,,,,,SAMBHAAV_data,
EMA_Bullish_State + RSI_Bull_Momentum + Stoch_Cross_Up,EMA_Bullish_State + RSI_Bull_Momentum + Stoch_Cross_Up,combo_3,42,momentum,Bullish,1.5,,,,,,,0.9524,0.03359,-0.01542,0.031259,78.361,0.03126,,,,,,,0.045268,0.9762,105.981,0.9524,17.185429,0.9762,0.05579,-0.02654,0.053833,133.602,0.05383,1.0,0.05071,0.0,0.050713,,0.05071,,,,,,,,,,,,,,,,,,,SAMBHAAV_data,
