SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Stoch_Oversold + OBV_Trend_Bull,Stoch_Oversold + OBV_Trend_Bull,combo_2,53,momentum,Bullish,0.9245,0.01972,-0.00441,0.0179,63.524,0.0179,1.114,4.53577,0.9434,0.0301,-0.02441,0.027017,24.784,0.02702,1.575,2.670908,0.9434,0.02907,-0.0347,0.025458,18.163,0.02546,1.929,1.844468,0.023458,0.9371,35.49,0.9811,3.258315,5,4.53577,0.00541,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBFC_data,
Golden_Cross_State + BB_Lower_Touch,Golden_Cross_State + BB_Lower_Touch,combo_2,16,trend,Bullish,,,,,,,,,0.875,0.0476,-0.01135,0.04023,30.368,0.04023,1.823,3.461312,,,,,,,,,0.034609,0.9583,30.368,0.875,2.605519,10,3.461312,0.0636,1,1.0,0.0323,0.0,0.032297,,0.0323,2.578,0.091505,1.0,0.0313,0.0,0.031301,,0.0313,3.157,0.088683,,,,,,,,,,,,,,,,,,,,,,,,,SBFC_data,
Golden_Cross_State + Stoch_Oversold,Golden_Cross_State + Stoch_Oversold,combo_2,44,trend,Bullish,,,,,,,,,0.9318,0.0306,-0.0121,0.027689,39.367,0.02769,1.687,4.149368,,,,,,,,,0.02476,0.947,23.769,0.9773,2.18938,10,4.149368,0.01933,1,0.9545,0.03358,-0.05228,0.029679,19.095,0.02968,2.386,2.15736,0.9545,0.02065,-0.06157,0.016913,12.844,0.01691,2.923,0.826894,,,,,,,,,,,,,,,,,,,,,,,,,SBFC_data,
EMA_Bullish_State + Stoch_Oversold,EMA_Bullish_State + Stoch_Oversold,combo_2,53,momentum,Bullish,0.8491,0.02303,-0.02164,0.016284,7.094,0.01628,1.195,0.460782,0.9057,0.0327,-0.02258,0.027488,16.081,0.02749,1.69,1.763221,0.9245,0.03985,-0.0326,0.034384,17.9,0.03438,2.07,2.455074,0.026052,0.8931,13.691,0.9245,1.315435,15,2.455074,0.04871,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBFC_data,
RSI_Bull_Momentum + Stoch_Oversold,RSI_Bull_Momentum + Stoch_Oversold,combo_2,11,momentum,Bullish,1.0,0.00702,0.0,0.007019,,0.00702,1.223,0.017441,1.0,0.0259,0.0,0.025901,,0.0259,1.73,0.064363,0.9091,0.06309,-0.04122,0.053606,19.207,0.05361,2.118,2.558468,0.028842,0.9697,19.207,0.9091,1.251416,15,2.558468,0.07754,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBFC_data,
BB_Lower_Touch + CCI_Oversold,BB_Lower_Touch + CCI_Oversold,combo_2,29,mean_rev,Bullish,0.8966,0.03614,-0.02356,0.029963,14.653,0.02996,1.321,1.493292,,,,,,,,,,,,,,,,,0.026421,0.8966,13.358,1.0,1.200378,7,2.430628,0.11767,0,,,,,,,,,,,,,,,,,0.8966,0.01601,-0.03193,0.011053,6.736,0.01105,1.024,0.253217,0.8966,0.04465,-0.01728,0.038247,18.685,0.03825,1.563,2.430628,,,,,,,,,SBFC_data,
BB_Lower_Touch,BB_Lower_Touch,single,29,mean_rev,Bullish,0.8966,0.03614,-0.02356,0.029963,14.653,0.02996,1.321,1.493292,,,,,,,,,,,,,,,,,0.026421,0.8966,13.358,1.0,1.200378,7,2.430628,0.11767,0,,,,,,,,,,,,,,,,,0.8966,0.01601,-0.03193,0.011053,6.736,0.01105,1.024,0.253217,0.8966,0.04465,-0.01728,0.038247,18.685,0.03825,1.563,2.430628,,,,,,,,,SBFC_data,
Stoch_Oversold + CMF_Positive,Stoch_Oversold + CMF_Positive,combo_2,18,momentum,Bullish,0.8333,0.03037,-0.02766,0.020698,6.272,0.0207,1.235,0.382261,0.8889,0.04148,-0.01939,0.034717,18.731,0.03472,1.747,1.914726,1.0,0.05526,0.0,0.055259,,0.05526,2.14,0.162708,0.036891,0.9074,12.502,0.8333,1.131663,10,1.914726,0.04836,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBFC_data,
Stoch_Bull_Zone + CCI_Oversold,Stoch_Bull_Zone + CCI_Oversold,combo_2,39,momentum,Bullish,0.8718,0.01899,-0.01174,0.015052,12.763,0.01505,1.111,0.708663,0.9231,0.0256,-0.02056,0.022049,22.659,0.02205,1.571,1.842985,0.9487,0.0203,-0.03961,0.017229,15.888,0.01723,1.924,1.009739,0.01811,0.9145,17.103,0.9231,1.054691,10,1.842985,0.04516,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBFC_data,
BB_Lower_Touch + Williams_Oversold,BB_Lower_Touch + Williams_Oversold,combo_2,26,mean_rev,Bullish,0.8846,0.03613,-0.02356,0.029246,13.117,0.02925,1.335,1.264354,,,,,,,,,,,,,,,,,0.026179,0.8846,11.954,1.0,1.031435,7,2.065574,0.17997,0,,,,,,,,,,,,,,,,,0.8846,0.01745,-0.03193,0.011751,6.051,0.01175,1.034,0.234349,0.8846,0.04469,-0.01728,0.037542,16.694,0.03754,1.58,2.065574,,,,,,,,,SBFC_data,
