SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
Price_Above_SMA50 + Price_Above_EMA200,Price_Above_SMA50 + Price_Above_EMA200,combo_2,85,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.106861,0.9529,120.623,0.8824,50.661204,0.8824,0.06415,-0.0091,0.055529,41.304,0.05553,,,,,,,0.9765,0.11491,-0.02373,0.11165,199.942,0.11165,1.0,0.1534,0.0,0.153404,,0.1534,,,,,,,SHRIRAMFIN_data,
Price_Above_EMA200 + VWAP_Bull,Price_Above_EMA200 + VWAP_Bull,combo_2,85,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.106861,0.9529,120.623,0.8824,50.661204,0.8824,0.06415,-0.0091,0.055529,41.304,0.05553,,,,,,,0.9765,0.11491,-0.02373,0.11165,199.942,0.11165,1.0,0.1534,0.0,0.153404,,0.1534,,,,,,,SHRIRAMFIN_data,
Price_Above_EMA200,Price_Above_EMA200,single,85,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.106861,0.9529,120.623,0.8824,50.661204,0.8824,0.06415,-0.0091,0.055529,41.304,0.05553,,,,,,,0.9765,0.11491,-0.02373,0.11165,199.942,0.11165,1.0,0.1534,0.0,0.153404,,0.1534,,,,,,,SHRIRAMFIN_data,
VWAP_Bull + Price_Above_SMA50 + Price_Above_EMA200,VWAP_Bull + Price_Above_SMA50 + Price_Above_EMA200,combo_3,85,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.106861,0.9529,120.623,0.8824,50.661204,0.8824,0.06415,-0.0091,0.055529,41.304,0.05553,,,,,,,0.9765,0.11491,-0.02373,0.11165,199.942,0.11165,1.0,0.1534,0.0,0.153404,,0.1534,,,,,,,SHRIRAMFIN_data,
OBV_Trend_Bull + Price_Above_SMA50 + Price_Above_EMA200,OBV_Trend_Bull + Price_Above_SMA50 + Price_Above_EMA200,combo_3,80,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.109411,0.95,114.691,0.875,48.250759,0.875,0.06596,-0.0091,0.056581,39.667,0.05658,,,,,,,0.975,0.11602,-0.02373,0.112523,189.714,0.11252,1.0,0.15913,0.0,0.15913,,0.15913,,,,,,,SHRIRAMFIN_data,
Price_Above_EMA200 + OBV_Trend_Bull,Price_Above_EMA200 + OBV_Trend_Bull,combo_2,80,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.109411,0.95,114.691,0.875,48.250759,0.875,0.06596,-0.0091,0.056581,39.667,0.05658,,,,,,,0.975,0.11602,-0.02373,0.112523,189.714,0.11252,1.0,0.15913,0.0,0.15913,,0.15913,,,,,,,SHRIRAMFIN_data,
VWAP_Bull + OBV_Trend_Bull + Price_Above_EMA200,VWAP_Bull + OBV_Trend_Bull + Price_Above_EMA200,combo_3,80,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.109411,0.95,114.691,0.875,48.250759,0.875,0.06596,-0.0091,0.056581,39.667,0.05658,,,,,,,0.975,0.11602,-0.02373,0.112523,189.714,0.11252,1.0,0.15913,0.0,0.15913,,0.15913,,,,,,,SHRIRAMFIN_data,
VWAP_Bull + Price_Above_SMA20 + Price_Above_EMA200,VWAP_Bull + Price_Above_SMA20 + Price_Above_EMA200,combo_3,82,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.106587,0.9512,114.746,0.878,47.453672,0.878,0.06544,-0.0091,0.056346,40.461,0.05635,,,,,,,0.9756,0.11271,-0.02373,0.109381,189.031,0.10938,1.0,0.15403,0.0,0.154034,,0.15403,,,,,,,SHRIRAMFIN_data,
Price_Above_SMA50 + Price_Above_SMA20 + Price_Above_EMA200,Price_Above_SMA50 + Price_Above_SMA20 + Price_Above_EMA200,combo_3,82,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.106587,0.9512,114.746,0.878,47.453672,0.878,0.06544,-0.0091,0.056346,40.461,0.05635,,,,,,,0.9756,0.11271,-0.02373,0.109381,189.031,0.10938,1.0,0.15403,0.0,0.154034,,0.15403,,,,,,,SHRIRAMFIN_data,
Price_Above_SMA20 + Price_Above_EMA200,Price_Above_SMA20 + Price_Above_EMA200,combo_2,82,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.106587,0.9512,114.746,0.878,47.453672,0.878,0.06544,-0.0091,0.056346,40.461,0.05635,,,,,,,0.9756,0.11271,-0.02373,0.109381,189.031,0.10938,1.0,0.15403,0.0,0.154034,,0.15403,,,,,,,SHRIRAMFIN_data,
