SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_SMA20 + CDL_Marubozu_Bull,Price_Above_SMA20 + CDL_Marubozu_Bull,combo_2,25,momentum,Bullish,,,,,,,,,0.96,0.07394,-0.06186,0.068507,33.147,0.06851,1.723,7.398542,,,,,,,,,0.093699,0.96,39.969,1.0,12.201837,10,18.664474,0.04317,1,0.96,0.1133,-0.05591,0.106536,53.772,0.10654,2.437,18.664474,0.96,0.1145,-0.0968,0.106053,32.989,0.10605,2.985,11.398783,,,,,,,,,,,,,,,,,,,,,,,,,SIMPLEXINF_data,
EMA_Bullish_State + CDL_DragonFlyDoji,EMA_Bullish_State + CDL_DragonFlyDoji,combo_2,36,momentum,Bullish,,,,,,,,,0.9444,0.0475,-0.06896,0.041028,15.619,0.04103,1.181,2.313864,,,,,,,,,0.061647,0.963,52.385,0.9722,11.337106,15,25.084286,0.00669,1,0.9722,0.06412,-0.05978,0.060678,58.077,0.06068,1.671,12.724804,0.9722,0.08709,-0.05163,0.083235,83.46,0.08323,2.046,25.084286,,,,,,,,,,,,,,,,,,,,,,,,,SIMPLEXINF_data,
Golden_Cross_State + CDL_Marubozu_Bull,Golden_Cross_State + CDL_Marubozu_Bull,combo_2,28,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.114706,0.9405,29.432,0.9643,10.962096,10,13.36359,0.02546,1,0.9643,0.08325,-0.05591,0.078279,50.698,0.07828,2.555,13.36359,,,,,,,,,0.9286,0.13442,-0.10311,0.11745,20.679,0.11745,3.614,8.178368,0.9286,0.1716,-0.15331,0.14839,16.918,0.14839,4.426,8.453598,,,,,,,,,SIMPLEXINF_data,
MACD_Hist_Positive + CDL_Marubozu_Bull,MACD_Hist_Positive + CDL_Marubozu_Bull,combo_2,19,momentum,Bullish,,,,,,,,,0.9474,0.07361,-0.06186,0.066481,25.202,0.06648,1.662,5.01919,,,,,,,,,0.102984,0.9474,33.348,1.0,10.288233,10,14.9142,0.11569,0,0.9474,0.12271,-0.05591,0.113313,43.936,0.11331,2.351,14.9142,0.9474,0.14171,-0.0968,0.129159,30.906,0.12916,2.879,11.958229,,,,,,,,,,,,,,,,,,,,,,,,,SIMPLEXINF_data,
MACD_Bullish_State + CDL_Marubozu_Bull,MACD_Bullish_State + CDL_Marubozu_Bull,combo_2,19,momentum,Bullish,,,,,,,,,0.9474,0.07361,-0.06186,0.066481,25.202,0.06648,1.662,5.01919,,,,,,,,,0.102984,0.9474,33.348,1.0,10.288233,10,14.9142,0.11569,0,0.9474,0.12271,-0.05591,0.113313,43.936,0.11331,2.351,14.9142,0.9474,0.14171,-0.0968,0.129159,30.906,0.12916,2.879,11.958229,,,,,,,,,,,,,,,,,,,,,,,,,SIMPLEXINF_data,
RSI_Oversold + VWAP_Bull,RSI_Oversold + VWAP_Bull,combo_2,20,momentum,Bullish,,,,,,,,,0.95,0.06147,-0.04397,0.056202,32.701,0.0562,2.406,5.595496,,,,,,,,,0.105585,0.9833,32.701,0.95,9.986402,5,5.595496,0.01862,1,1.0,0.11864,0.0,0.118636,,0.11864,3.402,0.361191,1.0,0.14192,0.0,0.141916,,0.14192,4.167,0.432065,,,,,,,,,,,,,,,,,,,,,,,,,SIMPLEXINF_data,
CDL_Marubozu_Bull,CDL_Marubozu_Bull,single,35,candle,Bullish,0.9714,0.04285,-0.01465,0.041206,122.931,0.04121,1.397,18.152323,0.9714,0.05616,-0.06186,0.052792,41.211,0.05279,1.804,7.79646,,,,,,,,,0.04167,0.9714,66.563,1.0,9.939548,3,18.152323,0.00731,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9714,0.03319,-0.04312,0.031012,35.546,0.03101,1.141,3.950322,SIMPLEXINF_data,
MACD_Hist_Rising + CDL_Marubozu_Bull,MACD_Hist_Rising + CDL_Marubozu_Bull,combo_2,28,momentum,Bullish,,,,,,,,,1.0,0.0589,0.0,0.058899,,0.0589,1.804,0.198332,,,,,,,,,0.068401,0.9643,44.012,0.9286,9.413187,10,19.61008,0.00353,1,0.9643,0.07922,-0.03493,0.075139,77.505,0.07514,2.551,19.61008,0.9286,0.08749,-0.14111,0.071166,10.52,0.07117,3.125,2.520868,,,,,,,,,,,,,,,,,,,,,,,,,SIMPLEXINF_data,
Price_Above_EMA200 + CDL_DragonFlyDoji,Price_Above_EMA200 + CDL_DragonFlyDoji,combo_2,38,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.08476,0.9561,30.575,0.9737,9.244406,10,11.507538,0.0043,1,0.9737,0.05716,-0.05978,0.054085,58.077,0.05408,1.732,11.507538,,,,,,,,,0.9474,0.11369,-0.15516,0.099538,17.007,0.09954,2.45,6.201791,0.9474,0.11458,-0.14989,0.100657,16.642,0.10066,3.001,6.13678,,,,,,,,,SIMPLEXINF_data,
VWAP_Bull + CDL_Marubozu_Bull,VWAP_Bull + CDL_Marubozu_Bull,combo_2,32,momentum,Bullish,,,,,,,,,0.9688,0.06916,-0.06186,0.065063,41.211,0.06506,1.802,9.375315,,,,,,,,,0.071758,0.9583,37.611,0.9688,9.141714,10,16.074182,0.01287,1,0.9688,0.08453,-0.05591,0.080141,57.364,0.08014,2.549,16.074182,0.9375,0.08228,-0.11309,0.070068,14.258,0.07007,3.122,3.493011,,,,,,,,,,,,,,,,,,,,,,,,,SIMPLEXINF_data,
