SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
Price_Above_SMA50 + CMF_Positive + Stoch_Oversold,Price_Above_SMA50 + CMF_Positive + Stoch_Oversold,combo_3,19,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.083817,0.9649,147.393,0.8947,33.113638,0.8947,0.06871,-0.00367,0.061093,147.393,0.06109,,,,,,,1.0,0.07169,0.0,0.071689,,0.07169,1.0,0.11867,0.0,0.118668,,0.11867,,,,,,,SJS_data,
Price_Above_SMA20 + OBV_Rising + Stoch_Oversold,Price_Above_SMA20 + OBV_Rising + Stoch_Oversold,combo_3,18,momentum,Bullish,1.5,,,,,,,0.9444,0.04279,-0.01867,0.039379,42.425,0.03938,,,,,,,0.046021,0.9815,42.425,0.9444,5.429465,1.0,0.04415,0.0,0.044154,,0.04415,1.0,0.05453,0.0,0.054531,,0.05453,,,,,,,,,,,,,,,,,,,SJS_data,
Price_Above_SMA50 + RSI_Bull_Momentum + CMF_Strong_Bull,Price_Above_SMA50 + RSI_Bull_Momentum + CMF_Strong_Bull,combo_3,97,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.050737,0.9175,25.167,0.9072,5.311338,0.866,0.03798,-0.06028,0.024815,4.823,0.02481,,,,,,,0.9278,0.05895,-0.03395,0.052244,24.998,0.05224,0.9588,0.08035,-0.04565,0.075151,45.681,0.07515,,,,,,,SJS_data,
EMA_Bullish_State + OBV_Trend_Bull + CCI_Oversold,EMA_Bullish_State + OBV_Trend_Bull + CCI_Oversold,combo_3,11,momentum,Bullish,1.5,,,,,,,0.9091,0.05129,-0.0645,0.040765,7.961,0.04076,,,,,,,0.04657,0.9091,34.783,1.0,4.025246,0.9091,0.05686,-0.00826,0.050941,82.05,0.05094,0.9091,0.05825,-0.05449,0.048005,14.339,0.04801,,,,,,,,,,,,,,,,,,,SJS_data,
VWAP_Bull + Price_Above_SMA50 + CMF_Strong_Bull,VWAP_Bull + Price_Above_SMA50 + CMF_Strong_Bull,combo_3,110,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.047088,0.9091,19.063,0.8909,3.766309,0.8455,0.03542,-0.0596,0.020736,3.977,0.02074,,,,,,,0.9273,0.05637,-0.04178,0.049234,19.471,0.04923,0.9545,0.07727,-0.05413,0.071294,33.742,0.07129,,,,,,,SJS_data,
BB_Lower_Touch + VWAP_Bull,BB_Lower_Touch + VWAP_Bull,combo_2,22,momentum,Bullish,1.5,,,,,,,0.9545,0.01734,-0.00848,0.01617,60.452,0.01617,,,,,,,0.027331,0.9545,43.926,1.0,3.764288,0.9545,0.02576,-0.02552,0.023429,36.193,0.02343,0.9545,0.04615,-0.03651,0.042396,35.131,0.0424,,,,,,,,,,,,,,,,,,,SJS_data,
Price_Above_SMA50 + CMF_Positive + CMF_Strong_Bull,Price_Above_SMA50 + CMF_Positive + CMF_Strong_Bull,combo_3,111,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.046034,0.9099,19.07,0.8919,3.694391,0.8468,0.03526,-0.0596,0.020736,3.997,0.02074,,,,,,,0.9279,0.05464,-0.04178,0.047695,19.471,0.0477,0.955,0.07551,-0.05413,0.069669,33.742,0.06967,,,,,,,SJS_data,
OBV_Trend_Bull + Price_Above_SMA50 + CMF_Strong_Bull,OBV_Trend_Bull + Price_Above_SMA50 + CMF_Strong_Bull,combo_3,111,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.046034,0.9099,19.07,0.8919,3.694391,0.8468,0.03526,-0.0596,0.020736,3.997,0.02074,,,,,,,0.9279,0.05464,-0.04178,0.047695,19.471,0.0477,0.955,0.07551,-0.05413,0.069669,33.742,0.06967,,,,,,,SJS_data,
Price_Above_SMA50 + CMF_Strong_Bull,Price_Above_SMA50 + CMF_Strong_Bull,combo_2,111,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.046034,0.9099,19.07,0.8919,3.694391,0.8468,0.03526,-0.0596,0.020736,3.997,0.02074,,,,,,,0.9279,0.05464,-0.04178,0.047695,19.471,0.0477,0.955,0.07551,-0.05413,0.069669,33.742,0.06967,,,,,,,SJS_data,
EMA_Bullish_State + Price_Above_SMA50 + CMF_Strong_Bull,EMA_Bullish_State + Price_Above_SMA50 + CMF_Strong_Bull,combo_3,110,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.045491,0.9091,18.756,0.8909,3.580061,0.8455,0.03506,-0.0596,0.020433,3.944,0.02043,,,,,,,0.9273,0.054,-0.04178,0.047037,19.112,0.04704,0.9545,0.07487,-0.05413,0.069004,33.214,0.069,,,,,,,SJS_data,
Price_Above_SMA50 + Price_Above_SMA20 + CMF_Strong_Bull,Price_Above_SMA50 + Price_Above_SMA20 + CMF_Strong_Bull,combo_3,106,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.045653,0.9057,18.345,0.8868,3.470515,0.8396,0.03321,-0.0596,0.018323,3.635,0.01832,,,,,,,0.9245,0.05586,-0.04178,0.048492,18.815,0.04849,0.9528,0.0763,-0.05413,0.070143,32.586,0.07014,,,,,,,SJS_data,
VWAP_Bull + OBV_Rising + CDL_Harami_Bull,VWAP_Bull + OBV_Rising + CDL_Harami_Bull,combo_3,37,momentum,Bullish,1.5,,,,,,,0.8919,0.02096,-0.01125,0.017475,20.028,0.01747,,,,,,,0.023012,0.9459,43.743,0.9189,3.364697,0.973,0.02321,-0.02997,0.021768,47.84,0.02177,0.973,0.03145,-0.02987,0.029793,63.36,0.02979,,,,,,,,,,,,,,,,,,,SJS_data,
VWAP_Bull + OBV_Trend_Bull + CDL_Harami_Bull,VWAP_Bull + OBV_Trend_Bull + CDL_Harami_Bull,combo_3,29,momentum,Bullish,1.5,,,,,,,0.8966,0.03019,-0.01726,0.025277,19.201,0.02528,,,,,,,0.028852,0.9425,36.581,0.931,3.34222,0.9655,0.03453,-0.02997,0.032301,42.449,0.0323,0.9655,0.03108,-0.02987,0.028978,48.094,0.02898,,,,,,,,,,,,,,,,,,,SJS_data,
VWAP_Bull + CDL_Harami_Bull,VWAP_Bull + CDL_Harami_Bull,combo_2,38,momentum,Bullish,1.5,,,,,,,0.8947,0.01912,-0.01125,0.015924,20.028,0.01592,,,,,,,0.022337,0.9474,44.225,0.9211,3.33334,0.9737,0.02232,-0.02997,0.020941,47.84,0.02094,0.9737,0.03177,-0.02987,0.030146,64.807,0.03015,,,,,,,,,,,,,,,,,,,SJS_data,
EMA_Bullish_State + Stoch_Bull_Zone + Williams_Oversold,EMA_Bullish_State + Stoch_Bull_Zone + Williams_Oversold,combo_3,18,momentum,Bullish,1.5,,,,,,,0.8333,0.03381,-0.0482,0.020143,3.829,0.02014,,,,,,,0.031589,0.9074,39.154,0.8889,3.237158,0.9444,0.03477,-0.00826,0.032375,95.912,0.03238,0.9444,0.04794,-0.05449,0.042249,17.721,0.04225,,,,,,,,,,,,,,,,,,,SJS_data,
Price_Above_SMA50 + Price_Above_SMA20 + CDL_Harami_Bull,Price_Above_SMA50 + Price_Above_SMA20 + CDL_Harami_Bull,combo_3,23,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.044839,0.942,22.485,0.9565,3.064888,0.913,0.0389,-0.01016,0.034631,32.381,0.03463,,,,,,,0.9565,0.03281,-0.10905,0.026639,12.53,0.02664,0.9565,0.08111,-0.09982,0.073247,22.545,0.07325,,,,,,,SJS_data,
OBV_Trend_Bull + CCI_Oversold,OBV_Trend_Bull + CCI_Oversold,combo_2,18,momentum,Bullish,1.5,,,,,,,0.8889,0.03735,-0.03678,0.029113,9.28,0.02911,,,,,,,0.024532,0.9259,44.758,0.9444,3.053412,0.9444,0.03217,-0.00826,0.029922,108.533,0.02992,0.9444,0.01862,-0.05449,0.014562,16.46,0.01456,,,,,,,,,,,,,,,,,,,SJS_data,
VWAP_Bull + Price_Above_SMA50 + CMF_Positive,VWAP_Bull + Price_Above_SMA50 + CMF_Positive,combo_3,212,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.048596,0.8947,13.106,0.8821,3.011943,0.8302,0.03736,-0.05086,0.022377,4.456,0.02238,,,,,,,0.9057,0.05276,-0.05804,0.04231,10.701,0.04231,0.9481,0.08958,-0.07388,0.081102,24.16,0.0811,,,,,,,SJS_data,
CDL_HaramiCross_Bull,CDL_HaramiCross_Bull,single,19,candle,Bullish,0.5,1.0,0.006,0.0,0.006002,,0.006,1.0,0.01047,0.0,0.010467,,0.01047,,,,,,,0.007408,0.9825,139.814,0.9474,2.939516,,,,,,,,,,,,,,,,,,,,,,,,,0.9474,0.00617,-0.00171,0.005755,139.814,0.00576,SJS_data,
CDL_Harami_Bull + CDL_HaramiCross_Bull,CDL_Harami_Bull + CDL_HaramiCross_Bull,combo_2,19,candle,Bullish,0.5,1.0,0.006,0.0,0.006002,,0.006,1.0,0.01047,0.0,0.010467,,0.01047,,,,,,,0.007408,0.9825,139.814,0.9474,2.939516,,,,,,,,,,,,,,,,,,,,,,,,,0.9474,0.00617,-0.00171,0.005755,139.814,0.00576,SJS_data,
Stoch_Oversold + CMF_Positive,Stoch_Oversold + CMF_Positive,combo_2,27,momentum,Bullish,1.5,,,,,,,0.9259,0.0383,-0.02005,0.033982,25.761,0.03398,,,,,,,0.038973,0.963,23.994,0.9259,2.885191,0.963,0.03965,-0.06094,0.035924,22.228,0.03592,1.0,0.04701,0.0,0.047011,,0.04701,,,,,,,,,,,,,,,,,,,SJS_data,
