SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
VWAP_Bull + MACD_Hist_Rising + BB_Expansion_Bull,VWAP_Bull + MACD_Hist_Rising + BB_Expansion_Bull,combo_3,89,momentum,Bullish,1.5,,,,,,,0.8202,0.13905,-0.00503,0.113149,133.901,0.11315,,,,,,,0.235515,0.8315,244.947,0.9663,250.838011,0.8202,0.27764,-0.00377,0.227047,355.993,0.22705,0.8539,0.42901,0.0,0.36635,,0.36635,,,,,,,,,,,,,,,,,,,SPCENET_data,
EMA_Bullish_State + MACD_Hist_Rising + BB_Expansion_Bull,EMA_Bullish_State + MACD_Hist_Rising + BB_Expansion_Bull,combo_3,92,momentum,Bullish,1.5,,,,,,,0.8261,0.13569,-0.00503,0.111221,136.527,0.11122,,,,,,,0.225606,0.837,246.551,0.9674,243.897448,0.8261,0.26381,-0.00377,0.217276,356.575,0.21728,0.8587,0.40564,0.0,0.34832,,0.34832,,,,,,,,,,,,,,,,,,,SPCENET_data,
VWAP_Bull + OBV_Rising + BB_Expansion_Bull,VWAP_Bull + OBV_Rising + BB_Expansion_Bull,combo_3,89,momentum,Bullish,1.5,,,,,,,0.9326,0.12075,-0.02553,0.110892,72.475,0.11089,,,,,,,0.241171,0.9438,223.811,0.9775,237.426733,0.9438,0.24779,-0.01206,0.233196,375.148,0.2332,0.9551,0.39728,0.0,0.379423,,0.37942,,,,,,,,,,,,,,,,,,,SPCENET_data,
EMA_Bullish_State + OBV_Rising + BB_Expansion_Bull,EMA_Bullish_State + OBV_Rising + BB_Expansion_Bull,combo_3,96,momentum,Bullish,1.5,,,,,,,0.9375,0.11486,-0.02553,0.106085,75.792,0.10609,,,,,,,0.22236,0.9479,227.993,0.9792,227.090815,0.9479,0.22729,-0.01206,0.214828,380.195,0.21483,0.9583,0.36122,0.0,0.346168,,0.34617,,,,,,,,,,,,,,,,,,,SPCENET_data,
MACD_Hist_Rising + OBV_Rising + BB_Expansion_Bull,MACD_Hist_Rising + OBV_Rising + BB_Expansion_Bull,combo_3,80,momentum,Bullish,1.5,,,,,,,0.9,0.13811,-0.0558,0.11872,23.722,0.11872,,,,,,,0.242885,0.9042,125.318,0.9875,132.085427,0.9,0.26614,-0.04475,0.23505,58.197,0.23505,0.9125,0.41235,-0.0158,0.374886,294.034,0.37489,,,,,,,,,,,,,,,,,,,SPCENET_data,
MACD_Hist_Positive + OBV_Rising + BB_Expansion_Bull,MACD_Hist_Positive + OBV_Rising + BB_Expansion_Bull,combo_3,109,momentum,Bullish,1.5,,,,,,,0.8991,0.10357,-0.05297,0.087777,19.962,0.08778,,,,,,,0.186898,0.9174,129.671,0.9633,109.736571,0.9174,0.19905,-0.05482,0.178088,46.25,0.17809,0.9358,0.31615,-0.0158,0.294829,322.801,0.29483,,,,,,,,,,,,,,,,,,,SPCENET_data,
MACD_Bullish_State + OBV_Rising + BB_Expansion_Bull,MACD_Bullish_State + OBV_Rising + BB_Expansion_Bull,combo_3,109,momentum,Bullish,1.5,,,,,,,0.8991,0.10357,-0.05297,0.087777,19.962,0.08778,,,,,,,0.186898,0.9174,129.671,0.9633,109.736571,0.9174,0.19905,-0.05482,0.178088,46.25,0.17809,0.9358,0.31615,-0.0158,0.294829,322.801,0.29483,,,,,,,,,,,,,,,,,,,SPCENET_data,
Price_Above_SMA20 + OBV_Rising + BB_Expansion_Bull,Price_Above_SMA20 + OBV_Rising + BB_Expansion_Bull,combo_3,113,momentum,Bullish,1.5,,,,,,,0.9027,0.1,-0.05297,0.085109,20.111,0.08511,,,,,,,0.179897,0.9204,130.034,0.9646,106.870397,0.9204,0.19128,-0.05482,0.171678,46.527,0.17168,0.9381,0.30263,-0.0158,0.282903,323.463,0.2829,,,,,,,,,,,,,,,,,,,SPCENET_data,
BB_Expansion_Bull + OBV_Rising,BB_Expansion_Bull + OBV_Rising,combo_2,113,momentum,Bullish,1.5,,,,,,,0.9027,0.1,-0.05297,0.085109,20.111,0.08511,,,,,,,0.179897,0.9204,130.034,0.9646,106.870397,0.9204,0.19128,-0.05482,0.171678,46.527,0.17168,0.9381,0.30263,-0.0158,0.282903,323.463,0.2829,,,,,,,,,,,,,,,,,,,SPCENET_data,
Price_Above_SMA50 + MACD_Hist_Rising + BB_Expansion_Bull,Price_Above_SMA50 + MACD_Hist_Rising + BB_Expansion_Bull,combo_3,103,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.444866,0.822,50.887,0.8932,93.910796,0.767,0.25313,-0.03256,0.186562,27.514,0.18656,,,,,,,0.8252,0.54055,-0.04494,0.43823,57.503,0.43823,0.8738,0.82487,-0.0868,0.709807,67.645,0.70981,,,,,,,SPCENET_data,
