SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
VWAP_Bull + Price_Above_SMA50 + CCI_Oversold,VWAP_Bull + Price_Above_SMA50 + CCI_Oversold,combo_3,18,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.09414,0.963,51.684,0.9444,13.530429,0.9444,0.06618,-0.02427,0.061153,63.49,0.06115,,,,,,,0.9444,0.08137,-0.05253,0.073928,39.878,0.07393,1.0,0.14734,0.0,0.14734,,0.14734,,,,,,,SRHHYPOLTD_data,
EMA_Bullish_State + Price_Above_SMA50 + CCI_Oversold,EMA_Bullish_State + Price_Above_SMA50 + CCI_Oversold,combo_3,18,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.09414,0.963,51.684,0.9444,13.530429,0.9444,0.06618,-0.02427,0.061153,63.49,0.06115,,,,,,,0.9444,0.08137,-0.05253,0.073928,39.878,0.07393,1.0,0.14734,0.0,0.14734,,0.14734,,,,,,,SRHHYPOLTD_data,
Price_Above_SMA50 + CCI_Oversold,Price_Above_SMA50 + CCI_Oversold,combo_2,18,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.09414,0.963,51.684,0.9444,13.530429,0.9444,0.06618,-0.02427,0.061153,63.49,0.06115,,,,,,,0.9444,0.08137,-0.05253,0.073928,39.878,0.07393,1.0,0.14734,0.0,0.14734,,0.14734,,,,,,,SRHHYPOLTD_data,
Price_Above_SMA50 + Williams_Oversold + Stoch_Oversold,Price_Above_SMA50 + Williams_Oversold + Stoch_Oversold,combo_3,27,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.05003,0.963,70.728,1.0,11.791154,0.963,0.05699,-0.07798,0.051989,22.077,0.05199,,,,,,,0.963,0.03056,-0.06653,0.02696,34.524,0.02696,0.963,0.0746,-0.01893,0.07114,155.584,0.07114,,,,,,,SRHHYPOLTD_data,
OBV_Trend_Bull + Williams_Oversold + CMF_Positive,OBV_Trend_Bull + Williams_Oversold + CMF_Positive,combo_3,11,momentum,Bullish,1.5,,,,,,,0.8182,0.05234,-0.02015,0.039159,14.545,0.03916,,,,,,,0.060499,0.8788,71.586,0.9091,9.783519,0.9091,0.09471,-0.00514,0.085634,185.958,0.08563,0.9091,0.06778,-0.05409,0.056704,14.256,0.0567,,,,,,,,,,,,,,,,,,,SRHHYPOLTD_data,
Price_Above_SMA50 + RSI_Bull_Momentum + MACD_Cross_Up_Event,Price_Above_SMA50 + RSI_Bull_Momentum + MACD_Cross_Up_Event,combo_3,19,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.053237,0.8947,50.9,0.8421,6.835899,0.7895,0.04276,-0.076,0.017761,3.186,0.01776,,,,,,,0.9474,0.04799,-0.09038,0.040702,13.729,0.0407,0.9474,0.10784,-0.01735,0.101247,135.783,0.10125,,,,,,,SRHHYPOLTD_data,
OBV_Rising + RSI_Bull_Momentum + CMF_Strong_Bull,OBV_Rising + RSI_Bull_Momentum + CMF_Strong_Bull,combo_3,33,momentum,Bullish,1.5,,,,,,,0.9091,0.02089,-0.05106,0.014345,8.536,0.01434,,,,,,,0.047176,0.9495,42.092,0.9394,6.578083,0.9697,0.05136,-0.04294,0.048506,57.409,0.04851,0.9697,0.08302,-0.06032,0.078679,60.331,0.07868,,,,,,,,,,,,,,,,,,,SRHHYPOLTD_data,
Price_Above_SMA50 + MACD_Cross_Up_Event,Price_Above_SMA50 + MACD_Cross_Up_Event,combo_2,23,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.037148,0.913,53.713,0.8696,5.514123,0.8261,0.02264,-0.076,0.005483,3.295,0.00548,,,,,,,0.9565,0.03138,-0.09038,0.026084,13.999,0.02608,0.9565,0.0843,-0.01735,0.079876,143.845,0.07988,,,,,,,SRHHYPOLTD_data,
Price_Above_SMA50 + Price_Above_SMA20 + MACD_Cross_Up_Event,Price_Above_SMA50 + Price_Above_SMA20 + MACD_Cross_Up_Event,combo_3,23,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.037148,0.913,53.713,0.8696,5.514123,0.8261,0.02264,-0.076,0.005483,3.295,0.00548,,,,,,,0.9565,0.03138,-0.09038,0.026084,13.999,0.02608,0.9565,0.0843,-0.01735,0.079876,143.845,0.07988,,,,,,,SRHHYPOLTD_data,
MACD_Bullish_State + Price_Above_SMA50 + MACD_Cross_Up_Event,MACD_Bullish_State + Price_Above_SMA50 + MACD_Cross_Up_Event,combo_3,23,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.037148,0.913,53.713,0.8696,5.514123,0.8261,0.02264,-0.076,0.005483,3.295,0.00548,,,,,,,0.9565,0.03138,-0.09038,0.026084,13.999,0.02608,0.9565,0.0843,-0.01735,0.079876,143.845,0.07988,,,,,,,SRHHYPOLTD_data,
MACD_Hist_Positive + Price_Above_SMA50 + MACD_Cross_Up_Event,MACD_Hist_Positive + Price_Above_SMA50 + MACD_Cross_Up_Event,combo_3,23,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.037148,0.913,53.713,0.8696,5.514123,0.8261,0.02264,-0.076,0.005483,3.295,0.00548,,,,,,,0.9565,0.03138,-0.09038,0.026084,13.999,0.02608,0.9565,0.0843,-0.01735,0.079876,143.845,0.07988,,,,,,,SRHHYPOLTD_data,
Price_Above_SMA50 + MACD_Hist_Rising + MACD_Cross_Up_Event,Price_Above_SMA50 + MACD_Hist_Rising + MACD_Cross_Up_Event,combo_3,23,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.037148,0.913,53.713,0.8696,5.514123,0.8261,0.02264,-0.076,0.005483,3.295,0.00548,,,,,,,0.9565,0.03138,-0.09038,0.026084,13.999,0.02608,0.9565,0.0843,-0.01735,0.079876,143.845,0.07988,,,,,,,SRHHYPOLTD_data,
OBV_Trend_Bull + Price_Above_SMA50 + MACD_Cross_Up_Event,OBV_Trend_Bull + Price_Above_SMA50 + MACD_Cross_Up_Event,combo_3,21,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.039691,0.9206,48.49,0.9048,5.38249,0.8571,0.02556,-0.06529,0.012578,5.114,0.01258,,,,,,,0.9524,0.03566,-0.09038,0.029655,13.999,0.02965,0.9524,0.08155,-0.01735,0.076841,126.355,0.07684,,,,,,,SRHHYPOLTD_data,
Price_Above_SMA50 + OBV_Rising + MACD_Cross_Up_Event,Price_Above_SMA50 + OBV_Rising + MACD_Cross_Up_Event,combo_3,21,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.041306,0.9048,47.883,0.8571,5.240343,0.8095,0.03015,-0.076,0.009934,3.295,0.00993,,,,,,,0.9524,0.04173,-0.09038,0.035443,13.999,0.03544,0.9524,0.08334,-0.01735,0.078543,126.355,0.07854,,,,,,,SRHHYPOLTD_data,
