SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
Price_Above_SMA50 + MACD_Hist_Positive + CMF_Positive,Price_Above_SMA50 + MACD_Hist_Positive + CMF_Positive,combo_3,29,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.253312,0.9655,77.213,1.0,66.523631,0.9655,0.16952,-0.05182,0.161892,99.633,0.16189,,,,,,,0.9655,0.3863,-0.13802,0.368222,84.332,0.36822,0.9655,0.24473,-0.18747,0.229823,47.672,0.22982,,,,,,,SUMEETINDS_data,
Price_Above_SMA50 + MACD_Bullish_State + CMF_Positive,Price_Above_SMA50 + MACD_Bullish_State + CMF_Positive,combo_3,29,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.253312,0.9655,77.213,1.0,66.523631,0.9655,0.16952,-0.05182,0.161892,99.633,0.16189,,,,,,,0.9655,0.3863,-0.13802,0.368222,84.332,0.36822,0.9655,0.24473,-0.18747,0.229823,47.672,0.22982,,,,,,,SUMEETINDS_data,
EMA_Bullish_State + MACD_Bullish_State + CMF_Positive,EMA_Bullish_State + MACD_Bullish_State + CMF_Positive,combo_3,27,momentum,Bullish,1.5,,,,,,,0.9259,0.05792,-0.06018,0.049168,14.794,0.04917,,,,,,,0.176826,0.9506,62.334,0.963,35.367918,0.963,0.18211,-0.05182,0.173443,96.21,0.17344,0.963,0.32409,-0.11396,0.307867,75.997,0.30787,,,,,,,,,,,,,,,,,,,SUMEETINDS_data,
EMA_Bullish_State + MACD_Hist_Positive + CMF_Positive,EMA_Bullish_State + MACD_Hist_Positive + CMF_Positive,combo_3,27,momentum,Bullish,1.5,,,,,,,0.9259,0.05792,-0.06018,0.049168,14.794,0.04917,,,,,,,0.176826,0.9506,62.334,0.963,35.367918,0.963,0.18211,-0.05182,0.173443,96.21,0.17344,0.963,0.32409,-0.11396,0.307867,75.997,0.30787,,,,,,,,,,,,,,,,,,,SUMEETINDS_data,
MACD_Hist_Positive + CMF_Strong_Bull,MACD_Hist_Positive + CMF_Strong_Bull,combo_2,25,momentum,Bullish,1.5,,,,,,,0.96,0.04622,-0.11158,0.039904,12.921,0.0399,,,,,,,0.173064,0.96,57.652,1.0,32.507881,0.96,0.18205,-0.05182,0.172695,89.156,0.1727,0.96,0.32412,-0.11396,0.306593,70.881,0.30659,,,,,,,,,,,,,,,,,,,SUMEETINDS_data,
MACD_Bullish_State + CMF_Strong_Bull,MACD_Bullish_State + CMF_Strong_Bull,combo_2,25,momentum,Bullish,1.5,,,,,,,0.96,0.04622,-0.11158,0.039904,12.921,0.0399,,,,,,,0.173064,0.96,57.652,1.0,32.507881,0.96,0.18205,-0.05182,0.172695,89.156,0.1727,0.96,0.32412,-0.11396,0.306593,70.881,0.30659,,,,,,,,,,,,,,,,,,,SUMEETINDS_data,
Price_Above_SMA50 + Price_Above_SMA20 + CMF_Positive,Price_Above_SMA50 + Price_Above_SMA20 + CMF_Positive,combo_3,46,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.199728,0.9348,24.233,1.0,18.634505,0.9348,0.13278,-0.11415,0.116677,19.283,0.11668,,,,,,,0.9348,0.32069,-0.18242,0.287882,27.893,0.28788,0.9348,0.21951,-0.16199,0.194625,25.523,0.19462,,,,,,,SUMEETINDS_data,
EMA_Bullish_State + OBV_Rising + CDL_Harami_Bull,EMA_Bullish_State + OBV_Rising + CDL_Harami_Bull,combo_3,12,momentum,Bullish,1.5,,,,,,,0.9167,0.0462,-0.00877,0.041622,76.74,0.04162,,,,,,,0.093436,0.9722,76.74,0.9167,16.858936,1.0,0.09408,0.0,0.094081,,0.09408,1.0,0.14461,0.0,0.144606,,0.14461,,,,,,,,,,,,,,,,,,,SUMEETINDS_data,
EMA_Bullish_State + Price_Above_SMA20 + CMF_Positive,EMA_Bullish_State + Price_Above_SMA20 + CMF_Positive,combo_3,45,momentum,Bullish,1.5,,,,,,,0.9333,0.0533,-0.07097,0.045018,13.837,0.04502,,,,,,,0.134162,0.9481,29.487,0.9778,14.809855,0.9556,0.1354,-0.10199,0.124854,32.792,0.12485,0.9556,0.24979,-0.13677,0.232613,41.834,0.23261,,,,,,,,,,,,,,,,,,,SUMEETINDS_data,
Price_Above_SMA50 + CMF_Strong_Bull,Price_Above_SMA50 + CMF_Strong_Bull,combo_2,42,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.191511,0.9048,17.364,1.0,12.507792,0.9048,0.13165,-0.10807,0.108819,13.053,0.10882,,,,,,,0.9048,0.31471,-0.16851,0.268693,20.061,0.26869,0.9048,0.23392,-0.15356,0.19702,18.98,0.19702,,,,,,,SUMEETINDS_data,
