SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
RSI_Oversold + MACD_Hist_Positive,RSI_Oversold + MACD_Hist_Positive,combo_2,11,momentum,Bullish,,,,,,,,,0.8182,0.13692,-0.13139,0.088138,5.972,0.08814,1.52,1.308058,,,,,,,,,0.123475,0.8788,17.229,0.9091,4.805699,15,15.16113,0.29889,0,0.9091,0.12366,-0.10585,0.1028,11.722,0.1028,2.149,2.994278,0.9091,0.20345,-0.06017,0.179488,33.993,0.17949,2.633,15.16113,,,,,,,,,,,,,,,,,,,,,,,,,SURYODAY_data,
RSI_Oversold + MACD_Bullish_State,RSI_Oversold + MACD_Bullish_State,combo_2,11,momentum,Bullish,,,,,,,,,0.8182,0.13692,-0.13139,0.088138,5.972,0.08814,1.52,1.308058,,,,,,,,,0.123475,0.8788,17.229,0.9091,4.805699,15,15.16113,0.29889,0,0.9091,0.12366,-0.10585,0.1028,11.722,0.1028,2.149,2.994278,0.9091,0.20345,-0.06017,0.179488,33.993,0.17949,2.633,15.16113,,,,,,,,,,,,,,,,,,,,,,,,,SURYODAY_data,
Price_Above_SMA50 + CDL_HaramiCross_Bull,Price_Above_SMA50 + CDL_HaramiCross_Bull,combo_2,12,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.076809,0.8611,14.243,0.9167,2.572167,10,2.881363,0.2501,0,0.9167,0.05235,-0.02991,0.045497,24.691,0.0455,2.123,2.881363,,,,,,,,,0.8333,0.12696,-0.06293,0.095308,10.806,0.09531,3.003,2.641642,0.8333,0.12778,-0.10119,0.089621,7.232,0.08962,3.678,1.662437,,,,,,,,,SURYODAY_data,
RSI_Oversold + MACD_Hist_Rising,RSI_Oversold + MACD_Hist_Rising,combo_2,36,momentum,Bullish,,,,,,,,,0.8611,0.0686,-0.0871,0.046971,5.911,0.04697,1.783,1.002604,,,,,,,,,0.060846,0.8889,7.725,0.9444,1.603064,10,2.485882,0.04074,1,0.9167,0.08211,-0.10054,0.066886,10.293,0.06689,2.521,2.485882,0.8889,0.09347,-0.1296,0.068681,6.972,0.06868,3.088,1.729176,,,,,,,,,,,,,,,,,,,,,,,,,SURYODAY_data,
STRAT_BB_RSI_Oversold_Bounce,BB_Lower_Touch + RSI_Oversold,combo_2,44,mean_rev,Bullish,0.9318,0.02266,-0.04383,0.01813,12.781,0.01813,1.135,0.882084,0.9545,0.02241,-0.06837,0.018284,14.079,0.01828,1.466,0.979922,0.9545,0.03686,-0.08185,0.031463,16.482,0.03146,1.734,1.973974,0.022625,0.947,14.447,0.9773,1.216036,7,1.973974,0.00451,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SURYODAY_data,
RSI_Oversold + BB_Lower_Touch,RSI_Oversold + BB_Lower_Touch,combo_2,44,mean_rev,Bullish,0.9318,0.02266,-0.04383,0.01813,12.781,0.01813,1.135,0.882084,0.9545,0.02241,-0.06837,0.018284,14.079,0.01828,1.466,0.979922,0.9545,0.03686,-0.08185,0.031463,16.482,0.03146,1.734,1.973974,0.022625,0.947,14.447,0.9773,1.216036,7,1.973974,0.00451,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SURYODAY_data,
Stoch_Oversold + CMF_Strong_Bull,Stoch_Oversold + CMF_Strong_Bull,combo_2,24,momentum,Bullish,,,,,,,,,0.875,0.01835,-0.02451,0.012991,7.994,0.01299,1.671,0.334275,,,,,,,,,0.015907,0.9444,26.52,0.875,1.188131,10,4.468158,0.00354,1,0.9583,0.03303,-0.02023,0.030815,45.046,0.03082,2.363,4.468158,1.0,0.00391,0.0,0.003913,,0.00391,2.894,0.012597,,,,,,,,,,,,,,,,,,,,,,,,,SURYODAY_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,78,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.043542,0.8291,6.325,0.9744,1.172426,30,3.0318,0.13807,0,0.8462,0.02824,-0.06217,0.014334,5.234,0.01433,2.088,0.327835,,,,,,,,,0.8205,0.06534,-0.08521,0.038319,4.841,0.03832,2.953,0.810493,0.8205,0.10913,-0.06448,0.077971,8.899,0.07797,3.616,3.0318,,,,,,,,,SURYODAY_data,
BB_Expansion_Bull + Stoch_Bull_Zone,BB_Expansion_Bull + Stoch_Bull_Zone,combo_2,37,momentum,Bullish,,,,,,,,,0.8649,0.03033,-0.06571,0.017347,4.927,0.01735,1.49,0.310908,,,,,,,,,0.028213,0.8739,7.568,0.9189,0.713676,10,1.451994,0.03465,1,0.9189,0.03915,-0.06504,0.0307,13.002,0.0307,2.107,1.451994,0.8378,0.062,-0.0947,0.036591,4.774,0.03659,2.58,0.635431,,,,,,,,,,,,,,,,,,,,,,,,,SURYODAY_data,
RSI_Oversold + Stoch_Cross_Up,RSI_Oversold + Stoch_Cross_Up,combo_2,17,mean_rev,Bullish,0.8235,0.01346,-0.04449,0.003229,2.244,0.00323,1.298,0.020942,0.9412,0.03407,-0.03949,0.029747,19.861,0.02975,1.676,1.707603,0.8824,0.03308,-0.02251,0.026544,19.777,0.02654,1.983,1.517378,0.01984,0.8824,13.961,0.8824,0.706389,5,1.707603,0.17227,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SURYODAY_data,
