SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
VWAP_Bull + MACD_Hist_Rising + Stoch_Oversold,VWAP_Bull + MACD_Hist_Rising + Stoch_Oversold,combo_3,14,momentum,Bullish,1.5,,,,,,,0.9286,0.02665,-0.00262,0.02456,147.484,0.02456,,,,,,,0.025056,0.9762,147.484,0.9286,9.292417,1.0,0.02216,0.0,0.022162,,0.02216,1.0,0.02845,0.0,0.028446,,0.02845,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
VWAP_Bull + Stoch_Oversold + BB_Lower_Touch,VWAP_Bull + Stoch_Oversold + BB_Lower_Touch,combo_3,16,momentum,Bullish,1.5,,,,,,,0.8125,0.038,-0.00609,0.029733,18.333,0.02973,,,,,,,0.050211,0.9167,63.086,0.8125,7.291841,0.9375,0.04906,-0.00776,0.045507,107.839,0.04551,1.0,0.07539,0.0,0.075394,,0.07539,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
VWAP_Bull + Stoch_Bull_Zone + CCI_Oversold,VWAP_Bull + Stoch_Bull_Zone + CCI_Oversold,combo_3,35,momentum,Bullish,1.5,,,,,,,0.8857,0.01892,-0.02159,0.014293,8.763,0.01429,,,,,,,0.024658,0.9429,66.803,0.9143,5.396878,0.9714,0.02512,-0.04649,0.02307,24.522,0.02307,0.9714,0.03794,-0.00871,0.036611,167.124,0.03661,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
Price_Above_SMA50 + RSI_Bull_Momentum + Stoch_Oversold,Price_Above_SMA50 + RSI_Bull_Momentum + Stoch_Oversold,combo_3,33,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.028747,0.899,41.729,0.9091,3.845586,0.8485,0.00064,-0.03132,-0.004199,2.913,-0.0042,,,,,,,0.9091,0.05138,-0.01218,0.045606,41.264,0.04561,0.9394,0.04812,-0.00609,0.044834,81.009,0.04483,,,,,,,SWARAJENG_data,
OBV_Rising + Stoch_Bull_Zone + CCI_Oversold,OBV_Rising + Stoch_Bull_Zone + CCI_Oversold,combo_3,26,momentum,Bullish,1.5,,,,,,,0.8846,0.01592,-0.00651,0.01333,24.269,0.01333,,,,,,,0.023544,0.9359,51.195,0.9231,3.667102,0.9615,0.02159,-0.02636,0.019745,31.881,0.01975,0.9615,0.03953,-0.01177,0.037558,97.436,0.03756,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
Price_Above_SMA50 + Williams_Oversold + Stoch_Oversold,Price_Above_SMA50 + Williams_Oversold + Stoch_Oversold,combo_3,21,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.039061,0.9365,28.261,0.9524,3.249716,0.9048,0.0092,-0.00132,0.008195,17.907,0.0082,,,,,,,0.9524,0.06555,-0.04185,0.060431,37.582,0.06043,0.9524,0.05341,-0.04862,0.048556,29.293,0.04856,,,,,,,SWARAJENG_data,
VWAP_Bull + CCI_Oversold + Stoch_Cross_Up,VWAP_Bull + CCI_Oversold + Stoch_Cross_Up,combo_3,23,momentum,Bullish,1.5,,,,,,,0.8696,0.01777,-0.00323,0.015035,48.987,0.01503,,,,,,,0.025713,0.9275,41.159,0.913,3.070901,0.9565,0.03256,-0.023,0.030146,41.988,0.03015,0.9565,0.03482,-0.03099,0.031959,32.501,0.03196,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
EMA_Cross_Up_Event + Price_Above_SMA50,EMA_Cross_Up_Event + Price_Above_SMA50,combo_2,13,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.010683,0.7949,112.217,0.8462,2.677032,0.6923,0.02762,-0.03644,0.007907,2.027,0.00791,,,,,,,0.8462,0.01056,-0.0309,0.004185,7.268,0.00418,0.8462,0.02336,0.00124,0.019958,327.356,0.01996,,,,,,,SWARAJENG_data,
RSI_Oversold,RSI_Oversold,single,36,mean_rev,Bullish,1.0,0.9444,0.00802,-0.01108,0.00696,20.47,0.00696,0.9722,0.00462,-0.00093,0.004464,453.296,0.00446,1.0,-0.00176,0.0,-0.001759,,-0.00176,0.003222,0.9722,236.883,0.9444,2.602495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
MACD_Hist_Rising + Stoch_Bull_Zone + CCI_Oversold,MACD_Hist_Rising + Stoch_Bull_Zone + CCI_Oversold,combo_3,36,momentum,Bullish,1.5,,,,,,,0.8611,0.01127,-0.00733,0.008687,13.644,0.00869,,,,,,,0.015689,0.9259,48.186,0.8889,2.426445,0.9444,0.01412,-0.02143,0.012145,19.76,0.01214,0.9722,0.02732,-0.01177,0.026234,111.153,0.02623,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
VWAP_Bull + Stoch_Oversold + Stoch_Cross_Up,VWAP_Bull + Stoch_Oversold + Stoch_Cross_Up,combo_3,21,momentum,Bullish,1.5,,,,,,,0.9048,0.01314,-0.00414,0.011497,47.965,0.0115,,,,,,,0.020641,0.9365,37.354,0.9524,2.269745,0.9524,0.02316,-0.023,0.020957,32.632,0.02096,0.9524,0.03249,-0.03099,0.029468,31.465,0.02947,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
Stoch_Bull_Zone + CCI_Oversold,Stoch_Bull_Zone + CCI_Oversold,combo_2,52,momentum,Bullish,1.5,,,,,,,0.8654,0.01659,-0.01627,0.012169,8.079,0.01217,,,,,,,0.017327,0.9231,36.381,0.9038,2.26215,0.9423,0.01818,-0.02978,0.015415,15.317,0.01542,0.9615,0.02578,-0.01024,0.024399,85.745,0.0244,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
VWAP_Bull + Stoch_Oversold + CCI_Oversold,VWAP_Bull + Stoch_Oversold + CCI_Oversold,combo_3,56,momentum,Bullish,1.5,,,,,,,0.8036,0.02205,-0.00631,0.016481,14.356,0.01648,,,,,,,0.02451,0.8988,26.654,0.8393,2.216767,0.9286,0.02765,-0.02221,0.024092,23.094,0.02409,0.9643,0.03528,-0.02986,0.032956,42.513,0.03296,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
VWAP_Bull + Williams_Oversold + Stoch_Oversold,VWAP_Bull + Williams_Oversold + Stoch_Oversold,combo_3,73,momentum,Bullish,1.5,,,,,,,0.7808,0.0191,-0.01961,0.010615,4.709,0.01061,,,,,,,0.022219,0.895,28.127,0.8082,2.174044,0.9315,0.02493,-0.03071,0.021121,15.909,0.02112,0.9726,0.03667,-0.02718,0.034923,63.763,0.03492,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
VWAP_Bull + Williams_Oversold + CCI_Oversold,VWAP_Bull + Williams_Oversold + CCI_Oversold,combo_3,83,momentum,Bullish,1.5,,,,,,,0.7952,0.02432,-0.01766,0.015722,6.144,0.01572,,,,,,,0.026615,0.8956,21.988,0.8313,2.155546,0.9277,0.03047,-0.03359,0.025835,14.993,0.02583,0.9639,0.04083,-0.02941,0.038287,44.827,0.03829,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
Price_Above_SMA50 + OBV_Rising + Stoch_Oversold,Price_Above_SMA50 + OBV_Rising + Stoch_Oversold,combo_3,18,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.036115,0.8704,23.752,0.8333,2.104762,0.7778,0.00872,-0.03007,9.8e-05,2.704,0.0001,,,,,,,0.8889,0.06738,-0.02114,0.057544,24.539,0.05754,0.9444,0.05522,-0.02616,0.050702,44.013,0.0507,,,,,,,SWARAJENG_data,
RSI_Oversold + Stoch_Oversold,RSI_Oversold + Stoch_Oversold,combo_2,26,mean_rev,Bullish,1.0,0.9231,0.01088,-0.01108,0.009192,16.589,0.00919,0.9615,0.00409,-0.00093,0.003893,304.347,0.00389,1.0,-0.0006,0.0,-0.0006,,-0.0006,0.004162,0.9615,160.468,0.9231,2.031757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
BB_Lower_Bounce + VWAP_Bull,BB_Lower_Bounce + VWAP_Bull,combo_2,16,momentum,Bullish,1.5,,,,,,,0.8125,0.02694,-0.02161,0.017836,6.883,0.01784,,,,,,,0.035031,0.8958,23.206,0.875,2.015298,0.9375,0.04163,-0.04873,0.035979,15.442,0.03598,0.9375,0.05603,-0.02006,0.051279,47.293,0.05128,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
OBV_Rising + Stoch_Oversold + CDL_Harami_Bull,OBV_Rising + Stoch_Oversold + CDL_Harami_Bull,combo_3,15,momentum,Bullish,1.5,,,,,,,0.8667,0.01845,-0.00337,0.015541,30.141,0.01554,,,,,,,0.02758,0.9111,25.095,0.9333,1.791051,0.9333,0.03682,-0.02782,0.032508,22.402,0.03251,0.9333,0.03922,-0.02873,0.03469,22.743,0.03469,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
Price_Above_SMA50 + RSI_Bull_Momentum + Williams_Oversold,Price_Above_SMA50 + RSI_Bull_Momentum + Williams_Oversold,combo_3,17,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.038491,0.9412,15.676,1.0,1.744028,0.9412,0.02664,-0.02251,0.023747,21.084,0.02375,,,,,,,0.9412,0.07469,-0.07905,0.065642,17.236,0.06564,0.9412,0.03546,-0.12389,0.026085,8.709,0.02608,,,,,,,SWARAJENG_data,
RSI_Oversold + Williams_Oversold,RSI_Oversold + Williams_Oversold,combo_2,34,mean_rev,Bullish,1.0,0.9412,0.00906,-0.01108,0.007877,19.941,0.00788,0.9706,0.00318,-0.00093,0.003058,392.401,0.00306,1.0,-0.00363,0.0,-0.003633,,-0.00363,0.002434,0.9706,206.171,0.9412,1.679136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
OBV_Rising + MACD_Hist_Rising + Stoch_Oversold,OBV_Rising + MACD_Hist_Rising + Stoch_Oversold,combo_3,20,momentum,Bullish,1.5,,,,,,,0.9,0.03114,-0.01138,0.026891,26.375,0.02689,,,,,,,0.025989,0.9333,19.235,0.95,1.44589,0.95,0.02634,-0.02871,0.023587,20.527,0.02359,0.95,0.03265,-0.07048,0.027489,10.805,0.02749,,,,,,,,,,,,,,,,,,,SWARAJENG_data,
