SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_SMA50 + CDL_Harami_Bull,Price_Above_SMA50 + CDL_Harami_Bull,combo_2,24,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.08019,0.9306,29.919,0.9583,7.400984,30,16.731435,0.0302,1,0.9583,0.02946,-0.03183,0.026908,38.63,0.02691,2.321,3.345935,,,,,,,,,0.9167,0.09153,-0.09453,0.076028,13.361,0.07603,3.283,3.269698,0.9167,0.15515,-0.05501,0.137635,37.766,0.13764,4.02,16.731435,,,,,,,,,TAKE_data,
Price_Above_SMA50 + MACD_Cross_Up_Event,Price_Above_SMA50 + MACD_Cross_Up_Event,combo_2,22,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.075332,0.9545,25.057,0.9091,5.380539,30,9.47588,0.00663,1,1.0,0.04552,0.0,0.045524,,0.04552,1.79,0.14274,,,,,,,,,0.9091,0.09552,-0.0658,0.080851,19.778,0.08085,2.532,5.013928,0.9545,0.10958,-0.10954,0.099621,30.336,0.09962,3.101,9.47588,,,,,,,,,TAKE_data,
Price_Above_EMA200 + OBV_Rising,Price_Above_EMA200 + OBV_Rising,combo_2,161,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.099699,0.8696,8.01,0.9752,3.962127,30,6.07177,0.00209,1,0.882,0.09142,-0.11112,0.067517,7.599,0.06752,2.006,2.610212,,,,,,,,,0.8696,0.14005,-0.16048,0.100852,7.303,0.10085,2.838,3.747079,0.8571,0.17878,-0.15759,0.130728,9.129,0.13073,3.475,6.07177,,,,,,,,,TAKE_data,
Price_Above_SMA50 + OBV_Rising,Price_Above_SMA50 + OBV_Rising,combo_2,268,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.081201,0.8607,7.273,0.9963,3.291712,30,5.94263,0.00035,1,0.8619,0.05552,-0.08174,0.036569,6.314,0.03657,2.009,1.291845,,,,,,,,,0.8619,0.11447,-0.13155,0.080507,7.11,0.08051,2.841,3.202218,0.8582,0.1736,-0.15839,0.126526,8.395,0.12653,3.479,5.94263,,,,,,,,,TAKE_data,
Price_Above_SMA20 + Price_Above_EMA200,Price_Above_SMA20 + Price_Above_EMA200,combo_2,200,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.085433,0.8683,6.023,0.97,2.647156,30,4.323205,0.00072,1,0.88,0.08193,-0.12191,0.057471,6.316,0.05747,1.995,1.924874,,,,,,,,,0.875,0.12055,-0.22298,0.077611,5.029,0.07761,2.822,2.070074,0.85,0.17687,-0.19412,0.121217,6.725,0.12122,3.456,4.323205,,,,,,,,,TAKE_data,
Price_Above_EMA200 + MACD_Hist_Positive,Price_Above_EMA200 + MACD_Hist_Positive,combo_2,147,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.084462,0.8844,6.424,0.9728,2.637704,30,4.956002,0.00039,1,0.8844,0.07255,-0.1237,0.049853,6.129,0.04985,1.936,1.526863,,,,,,,,,0.898,0.10644,-0.23397,0.071704,5.621,0.0717,2.739,2.014,0.8707,0.18422,-0.22113,0.131829,7.523,0.13183,3.354,4.956002,,,,,,,,,TAKE_data,
Price_Above_EMA200 + MACD_Bullish_State,Price_Above_EMA200 + MACD_Bullish_State,combo_2,147,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.084462,0.8844,6.424,0.9728,2.637704,30,4.956002,0.00039,1,0.8844,0.07255,-0.1237,0.049853,6.129,0.04985,1.936,1.526863,,,,,,,,,0.898,0.10644,-0.23397,0.071704,5.621,0.0717,2.739,2.014,0.8707,0.18422,-0.22113,0.131829,7.523,0.13183,3.354,4.956002,,,,,,,,,TAKE_data,
Price_Above_SMA50 + Stoch_Bull_Zone,Price_Above_SMA50 + Stoch_Bull_Zone,combo_2,155,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.075765,0.8495,6.46,0.9806,2.423709,30,3.631106,0.02666,1,0.8581,0.05069,-0.08105,0.031993,5.773,0.03199,2.257,0.932624,,,,,,,,,0.8516,0.12392,-0.12648,0.086767,6.982,0.08677,3.192,3.05915,0.8387,0.15921,-0.15498,0.108535,6.625,0.10853,3.909,3.631106,,,,,,,,,TAKE_data,
EMA_Bullish_State + Price_Above_SMA50,EMA_Bullish_State + Price_Above_SMA50,combo_2,403,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.072944,0.8379,5.287,0.9777,2.262818,30,5.219149,6e-05,1,0.8263,0.05802,-0.09968,0.030631,3.966,0.03063,2.119,0.729027,,,,,,,,,0.8387,0.11063,-0.15969,0.06703,4.718,0.06703,2.996,1.898067,0.8486,0.17241,-0.16612,0.121172,7.177,0.12117,3.67,5.219149,,,,,,,,,TAKE_data,
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,70,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.102954,0.8381,4.761,0.9714,2.029843,30,4.168443,0.12016,0,0.8286,0.08627,-0.1552,0.044877,3.994,0.04488,2.073,0.764005,,,,,,,,,0.8571,0.15708,-0.26326,0.097028,4.433,0.09703,2.932,1.833463,0.8286,0.25281,-0.24799,0.166956,5.857,0.16696,3.591,4.168443,,,,,,,,,TAKE_data,
Price_Above_EMA200 + MACD_Hist_Rising,Price_Above_EMA200 + MACD_Hist_Rising,combo_2,128,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.074188,0.8307,5.764,0.9453,1.964413,30,3.399402,0.04591,1,0.7969,0.09311,-0.0989,0.054106,4.588,0.05411,2.043,1.206377,,,,,,,,,0.8516,0.1117,-0.16429,0.07073,5.546,0.07073,2.889,1.906256,0.8438,0.14638,-0.16499,0.097729,7.157,0.09773,3.538,3.399402,,,,,,,,,TAKE_data,
RSI_Cross50_Up + Price_Above_SMA50,RSI_Cross50_Up + Price_Above_SMA50,combo_2,33,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.089449,0.798,6.412,0.9697,1.961103,30,2.808123,0.40108,0,0.7879,0.06224,-0.05774,0.036792,5.523,0.03679,2.029,0.716619,,,,,,,,,0.7879,0.16668,-0.099,0.110325,7.143,0.11032,2.87,2.778752,0.8182,0.18121,-0.1487,0.12123,6.569,0.12123,3.515,2.808123,,,,,,,,,TAKE_data,
EMA_Bullish_State + MACD_Cross_Up_Event,EMA_Bullish_State + MACD_Cross_Up_Event,combo_2,17,momentum,Bullish,,,,,,,,,1.0,0.03189,0.0,0.031894,,0.03189,1.315,0.092186,,,,,,,,,0.058944,0.9608,12.539,0.8824,1.884906,15,3.169396,0.01931,1,1.0,0.05749,0.0,0.057487,,0.05749,1.86,0.166158,0.8824,0.11023,-0.08335,0.087452,12.539,0.08745,2.278,3.169396,,,,,,,,,,,,,,,,,,,,,,,,,TAKE_data,
CDL_Marubozu_Bull,CDL_Marubozu_Bull,single,23,candle,Bullish,0.9565,0.03785,-0.06227,0.033495,19.695,0.03349,1.254,2.096531,0.9565,0.02697,-0.08966,0.021902,13.512,0.0219,1.618,0.940515,,,,,,,,,0.030107,0.9565,19.586,1.0,1.874065,2,2.836043,0.03867,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9565,0.03844,-0.04234,0.034924,25.552,0.03492,1.024,2.836043,TAKE_data,
EMA_Bullish_State + OBV_Rising,EMA_Bullish_State + OBV_Rising,combo_2,238,momentum,Bullish,,,,,,,,,0.8824,0.04002,-0.06091,0.028149,6.99,0.02815,1.446,1.077558,,,,,,,,,0.046826,0.8838,7.12,0.9958,1.818298,15,2.541072,4e-05,1,0.8824,0.06312,-0.08766,0.045385,7.44,0.04538,2.045,1.849248,0.8866,0.09305,-0.13707,0.066943,6.931,0.06694,2.504,2.541072,,,,,,,,,,,,,,,,,,,,,,,,,TAKE_data,
Price_Above_SMA50 + MACD_Hist_Rising,Price_Above_SMA50 + MACD_Hist_Rising,combo_2,227,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.056717,0.837,5.685,0.9648,1.688896,30,3.234341,0.00346,1,0.815,0.04876,-0.08231,0.024509,4.31,0.02451,1.979,0.573457,,,,,,,,,0.8458,0.09193,-0.12588,0.05835,5.921,0.05835,2.798,1.875718,0.8502,0.1294,-0.15175,0.087293,6.824,0.08729,3.427,3.234341,,,,,,,,,TAKE_data,
Golden_Cross_State + OBV_Rising,Golden_Cross_State + OBV_Rising,combo_2,155,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.049992,0.8989,6.173,0.9806,1.528282,20,1.98246,4e-05,1,0.8968,0.0584,-0.11474,0.040528,5.865,0.04053,2.07,1.200265,,,,,,,,,0.9097,0.08376,-0.18351,0.059616,6.585,0.05962,2.927,1.98246,0.8903,0.07992,-0.19441,0.049833,6.07,0.04983,3.585,1.527456,,,,,,,,,TAKE_data,
Price_Above_SMA50,Price_Above_SMA50,single,502,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.056495,0.8187,4.414,0.9741,1.511049,30,3.399422,0.00052,1,0.8048,0.04861,-0.09191,0.021178,3.358,0.02118,2.081,0.442367,,,,,,,,,0.8207,0.09575,-0.14244,0.053043,4.148,0.05304,2.943,1.368549,0.8307,0.14737,-0.16038,0.095263,5.737,0.09526,3.604,3.399422,,,,,,,,,TAKE_data,
Price_Above_SMA20 + Price_Above_SMA50,Price_Above_SMA20 + Price_Above_SMA50,combo_2,394,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.053342,0.8316,4.67,0.9949,1.481681,30,3.249045,0.00366,1,0.8299,0.0454,-0.08883,0.022571,4.073,0.02257,2.041,0.549687,,,,,,,,,0.835,0.07952,-0.14044,0.043232,4.168,0.04323,2.887,1.07735,0.8299,0.14615,-0.15922,0.094223,5.767,0.09422,3.536,3.249045,,,,,,,,,TAKE_data,
Price_Above_SMA50 + CDL_DragonFlyDoji,Price_Above_SMA50 + CDL_DragonFlyDoji,combo_2,20,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.070289,0.9667,7.45,0.9,1.434887,30,0.457644,0.00714,1,0.9,-0.01019,-0.04616,-0.013787,7.45,-0.01379,1.352,-0.312716,,,,,,,,,1.0,0.07434,0.0,0.074336,,0.07434,1.912,0.226317,1.0,0.15032,0.0,0.150317,,0.15032,2.342,0.457644,,,,,,,,,TAKE_data,
Price_Above_SMA50 + Price_Above_EMA200,Price_Above_SMA50 + Price_Above_EMA200,combo_2,226,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.065726,0.8171,3.992,0.9912,1.410954,30,2.642675,0.1195,0,0.823,0.07746,-0.12958,0.040813,3.687,0.04081,2.085,0.816349,,,,,,,,,0.8142,0.11683,-0.20405,0.0572,3.378,0.0572,2.948,1.048191,0.8142,0.16561,-0.19193,0.099167,4.912,0.09917,3.611,2.642675,,,,,,,,,TAKE_data,
RSI_Cross50_Up + EMA_Bullish_State,RSI_Cross50_Up + EMA_Bullish_State,combo_2,19,momentum,Bullish,,,,,,,,,0.7368,0.04708,-0.02781,0.027374,5.886,0.02737,1.546,0.482686,,,,,,,,,0.078669,0.7368,5.862,1.0,1.381571,15,2.156916,0.82087,0,0.7368,0.12933,-0.06219,0.078934,6.15,0.07893,2.186,1.454155,0.7368,0.21659,-0.11361,0.129698,5.551,0.1297,2.678,2.156916,,,,,,,,,,,,,,,,,,,,,,,,,TAKE_data,
Price_Above_EMA200 + OBV_Trend_Bull,Price_Above_EMA200 + OBV_Trend_Bull,combo_2,223,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.062784,0.8281,3.718,0.9731,1.22914,30,2.04291,0.05558,1,0.8386,0.0841,-0.16946,0.043164,3.278,0.04316,2.042,0.765803,,,,,,,,,0.8341,0.11782,-0.23142,0.059871,3.45,0.05987,2.888,1.117736,0.8117,0.15388,-0.21015,0.085318,4.425,0.08532,3.537,2.04291,,,,,,,,,TAKE_data,
EMA_Bullish_State + Stoch_Bull_Zone,EMA_Bullish_State + Stoch_Bull_Zone,combo_2,140,momentum,Bullish,,,,,,,,,0.8571,0.03771,-0.04246,0.026256,7.498,0.02626,1.611,0.974315,,,,,,,,,0.040372,0.8619,6.039,0.9857,1.189283,15,1.428421,0.00884,1,0.8714,0.05833,-0.09931,0.038058,5.537,0.03806,2.278,1.042786,0.8571,0.08904,-0.13665,0.056801,5.082,0.0568,2.79,1.428421,,,,,,,,,,,,,,,,,,,,,,,,,TAKE_data,
EMA_Bullish_State + Price_Above_EMA200,EMA_Bullish_State + Price_Above_EMA200,combo_2,258,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.061081,0.801,3.466,0.9922,1.167361,30,2.348457,0.27572,0,0.7984,0.07364,-0.14695,0.02918,2.625,0.02918,2.128,0.425625,,,,,,,,,0.8062,0.12142,-0.19836,0.059443,3.307,0.05944,3.009,1.09238,0.7984,0.16539,-0.18573,0.094619,4.467,0.09462,3.686,2.348457,,,,,,,,,TAKE_data,
Price_Below_SMA50 + CDL_ShootingStar,Price_Below_SMA50 + CDL_ShootingStar,combo_2,13,trend,Bearish,,,,,,,,,,,,,,,,,,,,,,,,,0.06471,0.8718,159.398,0.9231,25.126939,20,63.142363,0.29668,0,0.8462,0.05529,-0.04623,0.03967,7.304,-0.03967,2.264,0.764691,,,,,,,,,0.8462,0.06352,0.00453,0.054443,439.467,-0.05444,3.202,63.142363,0.9231,0.11283,-0.05378,0.100016,31.422,-0.10002,3.922,8.293712,,,,,,,,,TAKE_data,
Price_Below_EMA200 + Williams_Overbought,Price_Below_EMA200 + Williams_Overbought,combo_2,56,trend,Bearish,,,,,,,,,,,,,,,,,,,,,,,,,0.058188,0.9345,39.044,0.9286,8.529455,30,19.925089,0.00122,1,0.8929,0.09131,-0.03911,0.077339,19.323,-0.07734,1.964,6.042101,,,,,,,,,0.9464,0.04863,-0.11409,0.039913,11.822,-0.03991,2.777,1.90779,0.9643,0.0604,-0.02591,0.057313,85.988,-0.05731,3.401,19.925089,,,,,,,,,TAKE_data,
Price_Below_EMA200 + CCI_Overbought,Price_Below_EMA200 + CCI_Overbought,combo_2,69,trend,Bearish,,,,,,,,,,,,,,,,,,,,,,,,,0.035345,0.9662,48.364,0.9565,6.946802,10,9.386716,2e-05,1,0.942,0.0667,-0.0308,0.061045,36.193,-0.06105,1.956,9.386716,,,,,,,,,0.971,0.02595,-0.08419,0.022758,21.517,-0.02276,2.767,2.080438,0.9855,0.02327,-0.04848,0.022233,87.381,-0.02223,3.388,8.253859,,,,,,,,,TAKE_data,
Price_Below_EMA200 + BB_Upper_Touch,Price_Below_EMA200 + BB_Upper_Touch,combo_2,24,trend,Bearish,,,,,,,,,,,,,,,,,,,,,,,,,0.044861,0.9583,29.636,0.9167,3.92289,10,10.038848,0.00862,1,0.9167,0.07847,-0.01767,0.070455,44.266,-0.07045,1.745,10.038848,,,,,,,,,0.9583,0.03356,-0.09564,0.028173,15.006,-0.02817,2.467,1.360827,1.0,0.03596,0.0,0.035956,,-0.03596,3.022,0.115738,,,,,,,,,TAKE_data,
Price_Below_SMA50 + CDL_Engulfing_Bear,Price_Below_SMA50 + CDL_Engulfing_Bear,combo_2,49,trend,Bearish,,,,,,,,,,,,,,,,,,,,,,,,,0.060781,0.8776,8.961,0.9388,2.00032,30,4.097823,0.06981,1,0.8367,0.05216,-0.08749,0.029363,3.919,-0.02936,2.22,0.450174,,,,,,,,,0.898,0.07309,-0.06234,0.059268,11.787,-0.05927,3.14,2.732893,0.898,0.11563,-0.09913,0.093712,11.178,-0.09371,3.845,4.097823,,,,,,,,,TAKE_data,
Price_Below_EMA200 + CDL_ShootingStar,Price_Below_EMA200 + CDL_ShootingStar,combo_2,13,trend,Bearish,,,,,,,,,,,,,,,,,,,,,,,,,0.038984,0.9487,19.217,0.9231,1.824959,10,1.816051,0.07709,1,0.9231,0.04123,-0.02924,0.035809,19.217,-0.03581,2.129,1.816051,,,,,,,,,0.9231,0.04706,0.01105,0.044292,,-0.04429,3.011,0.116889,1.0,0.03685,0.0,0.03685,,-0.03685,3.687,0.097249,,,,,,,,,TAKE_data,
Death_Cross_State + CDL_ShootingStar,Death_Cross_State + CDL_ShootingStar,combo_2,13,trend,Bearish,,,,,,,,,,,,,,,,,,,,,,,,,0.038984,0.9487,19.217,0.9231,1.824959,10,1.816051,0.07709,1,0.9231,0.04123,-0.02924,0.035809,19.217,-0.03581,2.129,1.816051,,,,,,,,,0.9231,0.04706,0.01105,0.044292,,-0.04429,3.011,0.116889,1.0,0.03685,0.0,0.03685,,-0.03685,3.687,0.097249,,,,,,,,,TAKE_data,
