SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
Price_Above_EMA200 + BB_Expansion_Bull,Price_Above_EMA200 + BB_Expansion_Bull,combo_2,13,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.037085,0.8718,11.477,0.9231,1.03685,10,4.179969,0.19073,0,0.9231,0.07099,-0.03527,0.062817,25.214,0.06282,1.479,4.179969,,,,,,,,,0.8462,0.03503,-0.0727,0.018455,4.055,0.01846,2.092,0.197511,0.8462,0.04399,-0.04704,0.029985,5.161,0.02998,2.562,0.408393,,,,,,,,,TATATECH_data,
Stoch_Oversold + Stoch_Cross_Up,Stoch_Oversold + Stoch_Cross_Up,combo_2,25,mean_rev,Bullish,0.88,0.01465,-0.01511,0.011082,8.36,0.01108,0.678,0.301841,0.96,0.0178,-0.0199,0.016293,25.103,0.01629,0.876,1.332584,0.96,0.01868,-0.02317,0.017002,24.638,0.017,1.036,1.364768,0.014792,0.9333,19.367,0.92,0.858711,7,1.364768,0.01374,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TATATECH_data,
EMA_Bullish_State + BB_Expansion_Bull,EMA_Bullish_State + BB_Expansion_Bull,combo_2,34,momentum,Bullish,,,,,,,,,0.8529,0.02539,-0.0374,0.016161,4.44,0.01616,0.942,0.255121,,,,,,,,,0.019356,0.902,10.391,0.9118,0.652,10,2.493379,0.01006,1,0.9412,0.0352,-0.02699,0.031546,22.231,0.03155,1.332,2.493379,0.9118,0.01872,-0.07603,0.01036,4.503,0.01036,1.632,0.165861,,,,,,,,,,,,,,,,,,,,,,,,,TATATECH_data,
Stoch_Oversold + OBV_Trend_Bull,Stoch_Oversold + OBV_Trend_Bull,combo_2,22,momentum,Bullish,,,,,,,,,0.8636,0.01968,-0.02248,0.013934,6.851,0.01393,0.861,0.299325,,,,,,,,,0.003954,0.9091,48.212,0.9091,0.543372,10,3.527987,0.02603,1,0.9091,0.00942,-0.00046,0.008526,131.975,0.00853,1.218,3.527987,0.9545,-0.00931,-0.03771,-0.010598,5.809,-0.0106,1.492,-0.193016,,,,,,,,,,,,,,,,,,,,,,,,,TATATECH_data,
EMA_Bullish_State + MACD_Hist_Positive,EMA_Bullish_State + MACD_Hist_Positive,combo_2,62,momentum,Bullish,,,,,,,,,0.8065,0.02469,-0.03224,0.013675,3.652,0.01367,0.957,0.206888,,,,,,,,,0.022874,0.8548,6.124,0.9194,0.533525,10,0.988153,0.01842,1,0.8871,0.03921,-0.04322,0.029902,7.976,0.0299,1.354,0.988153,0.871,0.03669,-0.05353,0.025045,6.743,0.02504,1.658,0.699662,,,,,,,,,,,,,,,,,,,,,,,,,TATATECH_data,
EMA_Bullish_State + MACD_Bullish_State,EMA_Bullish_State + MACD_Bullish_State,combo_2,62,momentum,Bullish,,,,,,,,,0.8065,0.02469,-0.03224,0.013675,3.652,0.01367,0.957,0.206888,,,,,,,,,0.022874,0.8548,6.124,0.9194,0.533525,10,0.988153,0.01842,1,0.8871,0.03921,-0.04322,0.029902,7.976,0.0299,1.354,0.988153,0.871,0.03669,-0.05353,0.025045,6.743,0.02504,1.658,0.699662,,,,,,,,,,,,,,,,,,,,,,,,,TATATECH_data,
Price_Above_EMA200 + MACD_Bullish_State,Price_Above_EMA200 + MACD_Bullish_State,combo_2,15,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.032207,0.8222,5.109,0.9333,0.425827,10,1.575182,0.33771,0,0.8667,0.07272,-0.04888,0.056507,10.054,0.05651,1.47,1.575182,,,,,,,,,0.8,0.0452,-0.08459,0.019239,2.942,0.01924,2.079,0.156945,0.8,0.04579,-0.07879,0.020874,2.332,0.02087,2.546,0.134947,,,,,,,,,TATATECH_data,
Price_Above_EMA200 + MACD_Hist_Positive,Price_Above_EMA200 + MACD_Hist_Positive,combo_2,15,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.032207,0.8222,5.109,0.9333,0.425827,10,1.575182,0.33771,0,0.8667,0.07272,-0.04888,0.056507,10.054,0.05651,1.47,1.575182,,,,,,,,,0.8,0.0452,-0.08459,0.019239,2.942,0.01924,2.079,0.156945,0.8,0.04579,-0.07879,0.020874,2.332,0.02087,2.546,0.134947,,,,,,,,,TATATECH_data,
EMA_Bullish_State + Stoch_Oversold,EMA_Bullish_State + Stoch_Oversold,combo_2,15,momentum,Bullish,,,,,,,,,0.8667,0.01591,-0.01232,0.012149,8.648,0.01215,0.921,0.291304,,,,,,,,,0.009449,0.9111,14.301,0.9333,0.34966,10,0.529241,0.1163,0,0.9333,0.01477,-0.01541,0.012761,14.959,0.01276,1.303,0.529241,0.9333,0.00454,-0.01206,0.003437,19.295,0.00344,1.595,0.183849,,,,,,,,,,,,,,,,,,,,,,,,,TATATECH_data,
BB_Lower_Touch + Stoch_Oversold,BB_Lower_Touch + Stoch_Oversold,combo_2,44,mean_rev,Bullish,0.8636,0.01497,-0.02057,0.010124,5.525,0.01012,0.694,0.212916,0.9091,0.01072,-0.01515,0.008372,9.71,0.00837,0.896,0.309449,0.9545,0.01006,-0.02004,0.00869,17.555,0.00869,1.06,0.580723,0.009062,0.9091,10.93,0.9091,0.342764,7,0.580723,0.00123,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TATATECH_data,
Stoch_Oversold + Williams_Oversold,Stoch_Oversold + Williams_Oversold,combo_2,109,mean_rev,Bullish,0.7982,0.01759,-0.0213,0.00974,3.894,0.00974,0.688,0.17826,0.8716,0.01803,-0.02875,0.01202,5.234,0.01202,0.888,0.295705,0.9083,0.01887,-0.03456,0.013965,7.372,0.01397,1.051,0.483906,0.011909,0.8593,5.5,0.8899,0.273956,7,0.483906,0.00013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TATATECH_data,
Price_Above_SMA50 + MACD_Bullish_State,Price_Above_SMA50 + MACD_Bullish_State,combo_2,118,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.016727,0.7853,3.582,0.9492,0.271755,20,0.298598,0.23048,0,0.8136,0.02698,-0.04007,0.014477,4.178,0.01448,1.302,0.28907,,,,,,,,,0.7797,0.04388,-0.06931,0.018939,3.299,0.01894,1.842,0.298598,0.7627,0.04229,-0.06527,0.016765,3.268,0.01677,2.255,0.261814,,,,,,,,,TATATECH_data,
Price_Above_SMA50 + MACD_Hist_Positive,Price_Above_SMA50 + MACD_Hist_Positive,combo_2,118,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.016727,0.7853,3.582,0.9492,0.271755,20,0.298598,0.23048,0,0.8136,0.02698,-0.04007,0.014477,4.178,0.01448,1.302,0.28907,,,,,,,,,0.7797,0.04388,-0.06931,0.018939,3.299,0.01894,1.842,0.298598,0.7627,0.04229,-0.06527,0.016765,3.268,0.01677,2.255,0.261814,,,,,,,,,TATATECH_data,
BB_Expansion_Bull + CMF_Positive,BB_Expansion_Bull + CMF_Positive,combo_2,12,momentum,Bullish,,,,,,,,,0.9167,0.02568,-0.00988,0.022715,33.09,0.02271,1.046,1.927921,,,,,,,,,0.00722,0.8889,14.579,0.9167,0.247502,5,1.927921,0.20706,0,0.9167,0.0253,-0.03527,0.020255,9.6,0.02026,1.48,0.498773,0.8333,-0.00603,-0.09769,-0.021309,1.046,-0.02131,1.812,-0.057184,,,,,,,,,,,,,,,,,,,,,,,,,TATATECH_data,
