SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
MACD_Cross_Up_Event + CMF_Strong_Bull,MACD_Cross_Up_Event + CMF_Strong_Bull,combo_2,11,momentum,Bullish,,,,,,,,,1.0,0.02823,0.0,0.028234,,0.02823,1.099,0.070159,,,,,,,,,0.058239,0.9697,73.708,0.9091,9.697182,10,12.001993,0.14778,0,0.9091,0.07321,-0.01131,0.065529,73.708,0.06553,1.555,12.001993,1.0,0.08095,0.0,0.080955,,0.08095,1.904,0.201165,,,,,,,,,,,,,,,,,,,,,,,,,TRENT_data,
Golden_Cross_State + CDL_Engulfing_Bull,Golden_Cross_State + CDL_Engulfing_Bull,combo_2,31,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.066257,0.9355,29.319,0.871,5.863908,20,10.138226,0.01173,1,0.871,0.05332,-0.0246,0.043264,16.224,0.04326,1.518,2.432714,,,,,,,,,0.9355,0.07582,-0.03043,0.068969,42.415,0.06897,2.147,10.138226,1.0,0.08654,0.0,0.086539,,0.08654,2.629,0.299922,,,,,,,,,TRENT_data,
Price_Above_EMA200 + CDL_Engulfing_Bull,Price_Above_EMA200 + CDL_Engulfing_Bull,combo_2,29,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.063465,0.9195,26.349,0.8621,4.903139,20,8.543257,0.01568,1,0.8621,0.04966,-0.0246,0.039413,14.277,0.03941,1.498,1.913831,,,,,,,,,0.8966,0.07522,-0.01997,0.065376,38.421,0.06538,2.118,8.543257,1.0,0.08561,0.0,0.085606,,0.08561,2.594,0.291164,,,,,,,,,TRENT_data,
RSI_Oversold + OBV_Rising,RSI_Oversold + OBV_Rising,combo_2,19,momentum,Bullish,,,,,,,,,0.7368,0.03697,-0.04893,0.014366,2.582,0.01437,1.625,0.11111,,,,,,,,,0.046859,0.8421,31.719,0.7895,3.515214,15,19.097129,0.20879,0,0.8421,0.06156,-0.03022,0.047071,12.025,0.04707,2.298,1.695631,0.9474,0.08471,-0.02116,0.079141,80.549,0.07914,2.814,19.097129,,,,,,,,,,,,,,,,,,,,,,,,,TRENT_data,
OBV_Trend_Bull + CCI_Oversold,OBV_Trend_Bull + CCI_Oversold,combo_2,14,momentum,Bullish,,,,,,,,,0.8571,0.04111,-0.06243,0.026322,6.706,0.02632,1.325,0.477991,,,,,,,,,0.060305,0.8571,21.924,0.8571,3.068886,10,9.305108,0.37301,0,0.9286,0.07014,-0.02702,0.063199,54.369,0.0632,1.874,9.305108,0.7857,0.15134,-0.12842,0.091395,4.696,0.09139,2.296,1.162354,,,,,,,,,,,,,,,,,,,,,,,,,TRENT_data,
Price_Above_SMA50 + CDL_Engulfing_Bull,Price_Above_SMA50 + CDL_Engulfing_Bull,combo_2,27,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.048658,0.9136,20.009,0.8519,2.763575,20,4.667802,0.02095,1,0.8519,0.04055,-0.0246,0.030895,11.19,0.03089,1.47,1.151939,,,,,,,,,0.8889,0.05716,-0.01997,0.048592,28.828,0.04859,2.078,4.667802,1.0,0.06649,0.0,0.066487,,0.06649,2.545,0.221549,,,,,,,,,TRENT_data,
Price_Above_SMA50 + Williams_Oversold,Price_Above_SMA50 + Williams_Oversold,combo_2,41,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.061009,0.878,12.257,0.9512,2.658743,30,6.619878,0.25502,0,0.9024,0.04559,-0.06804,0.034506,8.78,0.03451,1.685,1.132321,,,,,,,,,0.8537,0.07381,-0.05931,0.054329,9.189,0.05433,2.383,1.866049,0.878,0.11418,-0.04971,0.094193,18.803,0.09419,2.919,6.619878,,,,,,,,,TRENT_data,
Price_Above_SMA50 + MACD_Cross_Up_Event,Price_Above_SMA50 + MACD_Cross_Up_Event,combo_2,31,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.056695,0.9247,13.98,0.9677,2.658349,30,2.859674,0.13959,0,0.9032,0.03258,-0.02208,0.027292,19.284,0.02729,1.48,1.824006,,,,,,,,,0.9355,0.07114,-0.09571,0.060377,12.645,0.06038,2.093,2.645933,0.9355,0.09958,-0.16653,0.082415,10.012,0.08242,2.564,2.859674,,,,,,,,,TRENT_data,
Golden_Cross_State + Price_Above_SMA50,Golden_Cross_State + Price_Above_SMA50,combo_2,576,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.053476,0.9022,7.268,0.9896,2.445403,30,4.561375,1e-05,1,0.901,0.03658,-0.06781,0.026247,6.283,0.02625,1.392,1.048529,,,,,,,,,0.8976,0.07156,-0.10894,0.053076,6.676,0.05308,1.969,2.252655,0.908,0.10261,-0.13108,0.081106,8.846,0.08111,2.412,4.561375,,,,,,,,,TRENT_data,
RSI_Oversold + Stoch_Bull_Zone,RSI_Oversold + Stoch_Bull_Zone,combo_2,12,momentum,Bullish,,,,,,,,,0.9167,0.06009,-0.07411,0.048903,9.313,0.0489,1.734,1.168151,,,,,,,,,0.109184,0.9722,9.313,0.9167,2.390725,5,1.168151,0.14865,0,1.0,0.11286,0.0,0.112863,,0.11286,2.453,0.289487,1.0,0.16579,0.0,0.165786,,0.16579,3.004,0.425232,,,,,,,,,,,,,,,,,,,,,,,,,TRENT_data,
Price_Above_SMA50 + Stoch_Bull_Zone,Price_Above_SMA50 + Stoch_Bull_Zone,combo_2,266,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.050201,0.9223,8.608,0.985,2.378134,30,4.098285,2e-05,1,0.9135,0.03324,-0.06064,0.025124,7.801,0.02512,1.46,1.095045,,,,,,,,,0.9286,0.06088,-0.11162,0.04856,8.487,0.04856,2.065,2.302723,0.9248,0.0944,-0.13808,0.07692,9.536,0.07692,2.529,4.098285,,,,,,,,,TRENT_data,
Golden_Cross_State + OBV_Trend_Bull,Golden_Cross_State + OBV_Trend_Bull,combo_2,524,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.048448,0.9078,7.614,0.9828,2.270622,30,3.846845,1e-05,1,0.9046,0.03671,-0.06771,0.026747,6.65,0.02675,1.431,1.114048,,,,,,,,,0.9008,0.06582,-0.09832,0.049534,7.297,0.04953,2.024,2.264047,0.9179,0.08724,-0.13429,0.069062,8.893,0.06906,2.479,3.846845,,,,,,,,,TRENT_data,
Golden_Cross_State + OBV_Rising,Golden_Cross_State + OBV_Rising,combo_2,435,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.050334,0.9019,7.319,0.9747,2.182432,30,4.282209,9e-05,1,0.892,0.03795,-0.07036,0.026249,5.581,0.02625,1.469,0.89036,,,,,,,,,0.8966,0.06921,-0.10481,0.051211,6.796,0.05121,2.078,2.115211,0.9172,0.09155,-0.12609,0.073541,9.581,0.07354,2.545,4.282209,,,,,,,,,TRENT_data,
Price_Above_SMA50 + CCI_Oversold,Price_Above_SMA50 + CCI_Oversold,combo_2,19,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.068459,0.8596,12.412,0.8421,2.143629,30,2.508468,0.20573,0,0.9474,0.02064,-0.04052,0.017416,24.806,0.01742,1.623,1.294228,,,,,,,,,0.8421,0.0998,-0.11695,0.06558,5.589,0.06558,2.296,1.098014,0.7895,0.18353,-0.10693,0.12238,6.842,0.12238,2.812,2.508468,,,,,,,,,TRENT_data,
