SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
OBV_Trend_Bull + MACD_Bullish_State + CDL_Harami_Bull,OBV_Trend_Bull + MACD_Bullish_State + CDL_Harami_Bull,combo_3,10,momentum,Bullish,1.5,,,,,,,0.9,0.03273,-0.00365,0.029089,94.619,0.02909,,,,,,,0.021993,0.9667,94.619,0.9,4.490913,1.0,0.00462,0.0,0.00462,,0.00462,1.0,0.03227,0.0,0.032269,,0.03227,,,,,,,,,,,,,,,,,,,UCAL_data,
OBV_Trend_Bull + MACD_Hist_Positive + CDL_Harami_Bull,OBV_Trend_Bull + MACD_Hist_Positive + CDL_Harami_Bull,combo_3,10,momentum,Bullish,1.5,,,,,,,0.9,0.03273,-0.00365,0.029089,94.619,0.02909,,,,,,,0.021993,0.9667,94.619,0.9,4.490913,1.0,0.00462,0.0,0.00462,,0.00462,1.0,0.03227,0.0,0.032269,,0.03227,,,,,,,,,,,,,,,,,,,UCAL_data,
MACD_Bullish_State + MACD_Hist_Positive + Stoch_Oversold,MACD_Bullish_State + MACD_Hist_Positive + Stoch_Oversold,combo_3,23,momentum,Bullish,1.5,,,,,,,0.8696,0.0296,-0.02595,0.022355,9.324,0.02235,,,,,,,0.051937,0.9565,9.324,0.8696,1.338259,1.0,0.06427,0.0,0.064268,,0.06427,1.0,0.06919,0.0,0.069188,,0.06919,,,,,,,,,,,,,,,,,,,UCAL_data,
MACD_Hist_Positive + Stoch_Oversold,MACD_Hist_Positive + Stoch_Oversold,combo_2,23,momentum,Bullish,1.5,,,,,,,0.8696,0.0296,-0.02595,0.022355,9.324,0.02235,,,,,,,0.051937,0.9565,9.324,0.8696,1.338259,1.0,0.06427,0.0,0.064268,,0.06427,1.0,0.06919,0.0,0.069188,,0.06919,,,,,,,,,,,,,,,,,,,UCAL_data,
MACD_Bullish_State + Stoch_Oversold,MACD_Bullish_State + Stoch_Oversold,combo_2,23,momentum,Bullish,1.5,,,,,,,0.8696,0.0296,-0.02595,0.022355,9.324,0.02235,,,,,,,0.051937,0.9565,9.324,0.8696,1.338259,1.0,0.06427,0.0,0.064268,,0.06427,1.0,0.06919,0.0,0.069188,,0.06919,,,,,,,,,,,,,,,,,,,UCAL_data,
Price_Above_SMA50 + Stoch_Oversold + CMF_Positive,Price_Above_SMA50 + Stoch_Oversold + CMF_Positive,combo_3,18,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.024384,0.9074,15.747,0.9444,1.067758,0.8889,0.05245,-0.15452,0.029452,2.811,0.02945,,,,,,,0.8889,0.00901,-0.01425,0.006428,22.078,0.00643,0.9444,0.04183,-0.04017,0.037271,22.35,0.03727,,,,,,,UCAL_data,
OBV_Rising + Stoch_Oversold + Stoch_Cross_Up,OBV_Rising + Stoch_Oversold + Stoch_Cross_Up,combo_3,12,momentum,Bullish,1.5,,,,,,,0.8333,0.03032,-0.06483,0.014459,2.995,0.01446,,,,,,,0.025516,0.8611,16.065,0.9167,0.963832,0.8333,0.04544,-0.04261,0.030762,7.88,0.03076,0.9167,0.03592,-0.01921,0.031328,37.321,0.03133,,,,,,,,,,,,,,,,,,,UCAL_data,
Stoch_Oversold + CCI_Oversold + BB_Lower_Touch,Stoch_Oversold + CCI_Oversold + BB_Lower_Touch,combo_3,23,mean_rev,Bullish,1.0,0.9565,0.02385,-0.06431,0.02002,10.43,0.02002,0.9565,0.02549,-0.07442,0.021143,9.083,0.02114,0.9565,0.03011,-0.04973,0.026636,15.927,0.02664,0.0226,0.9565,11.813,1.0,0.848461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCAL_data,
BB_Lower_Touch + Stoch_Oversold,BB_Lower_Touch + Stoch_Oversold,combo_2,23,mean_rev,Bullish,1.0,0.9565,0.02385,-0.06431,0.02002,10.43,0.02002,0.9565,0.02549,-0.07442,0.021143,9.083,0.02114,0.9565,0.03011,-0.04973,0.026636,15.927,0.02664,0.0226,0.9565,11.813,1.0,0.848461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCAL_data,
Williams_Oversold + Stoch_Oversold + BB_Lower_Touch,Williams_Oversold + Stoch_Oversold + BB_Lower_Touch,combo_3,23,mean_rev,Bullish,1.0,0.9565,0.02385,-0.06431,0.02002,10.43,0.02002,0.9565,0.02549,-0.07442,0.021143,9.083,0.02114,0.9565,0.03011,-0.04973,0.026636,15.927,0.02664,0.0226,0.9565,11.813,1.0,0.848461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCAL_data,
