SignalName,Components,Type,Count,HorizonClass,Direction,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,AvgMinMovePct_3D,CompositeScore_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,AvgMinMovePct_5D,CompositeScore_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgMinMovePct_7D,CompositeScore_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,BestHorizon,BestHorizonComposite,Fisher_p_min,Fisher_sig_flag,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,AvgMinMovePct_10D,CompositeScore_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgMinMovePct_15D,CompositeScore_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,AvgMinMovePct_20D,CompositeScore_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,AvgMinMovePct_30D,CompositeScore_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,AvgMinMovePct_2D,CompositeScore_2D,Symbol,Company
RSI_Oversold + Golden_Cross_State,RSI_Oversold + Golden_Cross_State,combo_2,11,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.139405,0.9394,38.662,0.9091,12.17518,20,18.10162,0.11455,0,1.0,0.08773,0.0,0.087725,,0.08773,2.355,0.217989,,,,,,,,,0.9091,0.15485,-0.02936,0.138103,52.748,0.1381,3.331,18.10162,0.9091,0.22086,-0.09238,0.192385,24.576,0.19239,4.079,11.748676,,,,,,,,,VINDHYATEL_data,
RSI_Oversold + VWAP_Bull,RSI_Oversold + VWAP_Bull,combo_2,17,momentum,Bullish,,,,,,,,,0.8824,0.03038,-0.0496,0.02097,6.073,0.02097,1.661,0.368101,,,,,,,,,0.054236,0.9412,87.046,0.8824,12.040078,10,30.232295,0.03361,1,0.9412,0.06659,-0.00708,0.062253,168.018,0.06225,2.349,30.232295,1.0,0.07948,0.0,0.079484,,0.07948,2.877,0.229739,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
Stoch_Bull_Zone + CDL_Engulfing_Bull,Stoch_Bull_Zone + CDL_Engulfing_Bull,combo_2,18,momentum,Bullish,,,,,,,,,0.8889,-0.00527,-0.0064,-0.005397,21.322,-0.0054,1.4,-0.338838,,,,,,,,,0.012929,0.9259,194.567,0.9444,6.995279,10,42.482885,0.13768,0,0.9444,0.02885,-0.00154,0.027163,531.164,0.02716,1.98,42.482885,0.9444,0.01957,-0.02635,0.01702,31.215,0.01702,2.425,1.564308,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
Price_Above_SMA50 + CDL_Engulfing_Bull,Price_Above_SMA50 + CDL_Engulfing_Bull,combo_2,19,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.046601,0.9474,45.161,0.8947,5.640987,20,7.531766,0.01892,1,0.8947,0.06484,-0.03203,0.054639,19.749,0.05464,1.856,3.232642,,,,,,,,,0.9474,0.0387,-0.01977,0.035625,70.573,0.03563,2.625,7.531766,1.0,0.04954,0.0,0.049538,,0.04954,3.215,0.148402,,,,,,,,,VINDHYATEL_data,
OBV_Trend_Bull + CDL_Engulfing_Bull,OBV_Trend_Bull + CDL_Engulfing_Bull,combo_2,23,momentum,Bullish,,,,,,,,,0.9565,0.01963,-0.0075,0.018455,112.69,0.01845,1.3,6.609281,,,,,,,,,0.031241,0.9275,51.993,0.913,4.713257,5,6.609281,0.06377,1,0.9565,0.04466,-0.0544,0.040353,24.394,0.04035,1.838,3.128398,0.8696,0.04311,-0.01973,0.034915,18.895,0.03491,2.251,2.096585,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
CMF_Positive + CDL_Engulfing_Bull,CMF_Positive + CDL_Engulfing_Bull,combo_2,13,momentum,Bullish,,,,,,,,,1.0,0.02785,0.0,0.027852,,0.02785,1.325,0.073504,,,,,,,,,0.026712,0.9487,69.144,0.9231,4.499371,10,4.901165,0.09717,1,0.9231,0.0299,-0.00967,0.026859,69.144,0.02686,1.873,4.901165,0.9231,0.02658,0.01154,0.025425,,0.02542,2.295,0.067098,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
STRAT_Stoch_RSI_VWAP_Bull,Stoch_Oversold + RSI_Oversold + VWAP_Bull,combo_3,11,momentum,Bullish,,,,,,,,,0.8182,0.01691,-0.0496,0.004814,2.644,0.00481,1.658,0.031632,,,,,,,,,0.041825,0.9091,41.955,0.8182,3.567592,10,9.383408,0.11192,0,0.9091,0.05182,-0.00708,0.046467,81.265,0.04647,2.345,9.383408,1.0,0.07419,0.0,0.074193,,0.07419,2.872,0.184364,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
Price_Above_EMA200 + BB_Lower_Touch,Price_Above_EMA200 + BB_Lower_Touch,combo_2,17,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.073992,0.9804,15.294,0.9412,3.07835,10,2.313784,0.02882,1,0.9412,0.0604,-0.0765,0.052343,15.294,0.05234,1.948,2.313784,,,,,,,,,1.0,0.07237,0.0,0.072374,,0.07237,2.755,0.209188,1.0,0.09726,0.0,0.097258,,0.09726,3.374,0.281111,,,,,,,,,VINDHYATEL_data,
RSI_Bull_Momentum + CDL_Engulfing_Bull,RSI_Bull_Momentum + CDL_Engulfing_Bull,combo_2,21,momentum,Bullish,,,,,,,,,1.0,0.02039,0.0,0.020386,,0.02039,1.35,0.063015,,,,,,,,,0.039418,0.9365,26.577,0.9048,2.929778,15,5.171726,0.02286,1,0.9048,0.0548,-0.03203,0.046528,20.563,0.04653,1.909,2.957457,0.9048,0.05847,-0.01642,0.051338,32.591,0.05134,2.339,5.171726,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
Price_Above_SMA20 + CDL_Engulfing_Bull,Price_Above_SMA20 + CDL_Engulfing_Bull,combo_2,21,momentum,Bullish,,,,,,,,,1.0,0.02123,0.0,0.02123,,0.02123,1.302,0.065621,,,,,,,,,0.036258,0.9524,27.728,0.9048,2.811636,15,3.959692,0.02286,1,0.9524,0.05118,-0.0544,0.046151,24.508,0.04615,1.841,3.496217,0.9048,0.04748,-0.01642,0.041394,30.947,0.04139,2.255,3.959692,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
Price_Above_EMA200 + CCI_Oversold,Price_Above_EMA200 + CCI_Oversold,combo_2,73,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.039611,0.895,16.019,0.8904,2.431747,30,8.704082,0.00084,1,0.8356,0.02879,-0.0748,0.01176,3.17,0.01176,1.968,0.16047,,,,,,,,,0.9041,0.0465,-0.03448,0.038733,15.295,0.03873,2.782,2.549775,0.9452,0.07457,-0.03919,0.068339,29.592,0.06834,3.408,8.704082,,,,,,,,,VINDHYATEL_data,
RSI_Oversold + MACD_Hist_Rising,RSI_Oversold + MACD_Hist_Rising,combo_2,20,momentum,Bullish,,,,,,,,,0.95,0.0329,-0.04062,0.029227,19.897,0.02923,1.399,1.770499,,,,,,,,,0.036455,0.9833,19.897,0.95,2.097972,5,1.770499,0.01837,1,1.0,0.04965,0.0,0.049648,,0.04965,1.979,0.151156,1.0,0.03049,0.0,0.030491,,0.03049,2.423,0.09283,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
MACD_Hist_Positive + CDL_Engulfing_Bull,MACD_Hist_Positive + CDL_Engulfing_Bull,combo_2,19,momentum,Bullish,,,,,,,,,1.0,0.02618,0.0,0.026184,,0.02618,1.325,0.07844,,,,,,,,,0.031178,0.9649,23.02,0.9474,2.036942,10,2.771368,0.03285,1,0.9474,0.04778,-0.0544,0.042397,21.82,0.0424,1.873,2.771368,0.9474,0.0288,-0.04437,0.024953,24.22,0.02495,2.294,1.810552,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
MACD_Bullish_State + CDL_Engulfing_Bull,MACD_Bullish_State + CDL_Engulfing_Bull,combo_2,19,momentum,Bullish,,,,,,,,,1.0,0.02618,0.0,0.026184,,0.02618,1.325,0.07844,,,,,,,,,0.031178,0.9649,23.02,0.9474,2.036942,10,2.771368,0.03285,1,0.9474,0.04778,-0.0544,0.042397,21.82,0.0424,1.873,2.771368,0.9474,0.0288,-0.04437,0.024953,24.22,0.02495,2.294,1.810552,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
Price_Above_EMA200 + MACD_Cross_Up_Event,Price_Above_EMA200 + MACD_Cross_Up_Event,combo_2,24,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.048603,0.8889,12.694,0.9167,1.820499,30,2.21442,0.144,0,0.9167,0.05444,-0.05488,0.045332,14.43,0.04533,1.847,2.105575,,,,,,,,,0.8333,0.06909,-0.04286,0.050431,9.907,0.05043,2.612,1.608214,0.9167,0.06001,-0.05952,0.050045,13.747,0.05004,3.199,2.21442,,,,,,,,,VINDHYATEL_data,
Price_Above_EMA200 + CDL_Hammer,Price_Above_EMA200 + CDL_Hammer,combo_2,10,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.120821,0.8,6.232,1.0,1.805473,10,2.098626,0.71653,0,0.8,0.17474,-0.09626,0.120536,7.261,0.12054,2.212,2.098626,,,,,,,,,0.8,0.19664,-0.1512,0.127069,5.202,0.12707,3.128,1.585046,0.8,0.17101,-0.10975,0.114858,6.233,0.11486,3.831,1.716603,,,,,,,,,VINDHYATEL_data,
RSI_Oversold + Stoch_Cross_Up,RSI_Oversold + Stoch_Cross_Up,combo_2,11,mean_rev,Bullish,0.9091,0.03841,-0.0202,0.033077,19.859,0.03308,1.167,1.632316,1.0,0.02913,0.0,0.029131,,0.02913,1.507,0.072388,1.0,0.04705,0.0,0.047054,,0.04705,1.783,0.116926,0.036421,0.9697,19.859,0.9091,1.63392,3,1.632316,0.1113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
Stoch_Bull_Zone + CMF_Strong_Bull,Stoch_Bull_Zone + CMF_Strong_Bull,combo_2,66,momentum,Bullish,,,,,,,,,0.9091,0.05937,-0.06836,0.047758,10.371,0.04776,1.508,2.082529,,,,,,,,,0.038677,0.8939,9.437,0.9697,1.48817,5,2.082529,0.06487,1,0.8788,0.04736,-0.05662,0.034753,8.892,0.03475,2.133,1.299381,0.8939,0.04537,-0.06636,0.033521,9.047,0.03352,2.612,1.275203,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
EMA_Bullish_State + MACD_Cross_Up_Event,EMA_Bullish_State + MACD_Cross_Up_Event,combo_2,18,momentum,Bullish,,,,,,,,,0.9444,0.01789,-0.04105,0.01462,17.889,0.01462,1.374,0.770043,,,,,,,,,0.032745,0.9074,14.157,0.9444,1.289086,15,1.562995,0.17997,0,0.8889,0.0551,-0.05488,0.042877,11.551,0.04288,1.943,1.458288,0.8889,0.05172,-0.04715,0.040738,13.03,0.04074,2.38,1.562995,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
RSI_Cross50_Up + Price_Above_EMA200,RSI_Cross50_Up + Price_Above_EMA200,combo_2,39,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.033742,0.8462,11.43,0.8718,1.240263,10,1.854361,0.06258,1,0.9231,0.02581,-0.02468,0.021928,22.924,0.02193,1.877,1.854361,,,,,,,,,0.7949,0.04949,-0.05063,0.028957,5.226,0.02896,2.655,0.558293,0.8205,0.07672,-0.07023,0.05034,6.138,0.05034,3.251,1.139884,,,,,,,,,VINDHYATEL_data,
RSI_Cross50_Up + Golden_Cross_State,RSI_Cross50_Up + Golden_Cross_State,combo_2,39,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.033742,0.8462,11.43,0.8718,1.240263,10,1.854361,0.06258,1,0.9231,0.02581,-0.02468,0.021928,22.924,0.02193,1.877,1.854361,,,,,,,,,0.7949,0.04949,-0.05063,0.028957,5.226,0.02896,2.655,0.558293,0.8205,0.07672,-0.07023,0.05034,6.138,0.05034,3.251,1.139884,,,,,,,,,VINDHYATEL_data,
RSI_Bull_Momentum + MACD_Zero_Cross_Up,RSI_Bull_Momentum + MACD_Zero_Cross_Up,combo_2,20,momentum,Bullish,,,,,,,,,0.95,0.01623,-0.03045,0.013894,19.863,0.01389,1.347,0.84023,,,,,,,,,0.034106,0.9167,12.505,0.95,1.233575,15,1.57818,0.13634,0,0.9,0.04505,-0.0611,0.034435,8.051,0.03443,1.905,0.844086,0.9,0.06831,-0.07485,0.05399,9.601,0.05399,2.333,1.57818,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
Stoch_Bull_Zone + CMF_Positive,Stoch_Bull_Zone + CMF_Positive,combo_2,143,momentum,Bullish,,,,,,,,,0.8951,0.04155,-0.06256,0.03063,7.181,0.03063,1.428,1.093142,,,,,,,,,0.035992,0.8625,6.961,0.951,1.184191,15,1.828008,0.02563,1,0.8462,0.04802,-0.06109,0.031235,5.725,0.03124,2.02,0.888722,0.8462,0.06491,-0.0573,0.04611,7.977,0.04611,2.473,1.828008,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
EMA_Bullish_State + CDL_Engulfing_Bull,EMA_Bullish_State + CDL_Engulfing_Bull,combo_2,17,momentum,Bullish,,,,,,,,,1.0,0.00876,0.0,0.008764,,0.00876,1.332,0.025331,,,,,,,,,0.024189,0.9216,18.867,0.8824,1.163903,15,1.907664,0.04719,1,0.8824,0.04361,-0.03203,0.034715,15.045,0.03471,1.883,1.509544,0.8824,0.03516,-0.01642,0.029089,22.689,0.02909,2.307,1.907664,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
Golden_Cross_State + CCI_Oversold,Golden_Cross_State + CCI_Oversold,combo_2,124,trend,Bullish,,,,,,,,,,,,,,,,,,,,,,,,,0.042191,0.8629,5.839,0.9758,1.160726,30,2.37479,0.02703,1,0.8548,0.03896,-0.07475,0.022456,4.342,0.02246,2.081,0.470791,,,,,,,,,0.8548,0.05284,-0.0636,0.03594,5.961,0.03594,2.942,1.034438,0.879,0.09175,-0.10313,0.068177,7.214,0.06818,3.604,2.37479,,,,,,,,,VINDHYATEL_data,
RSI_Overbought + BB_Upper_Reject,RSI_Overbought + BB_Upper_Reject,combo_2,10,mean_rev,Bearish,0.9,0.03803,-0.00078,0.034152,502.677,-0.03415,1.108,41.165645,1.0,0.04454,0.0,0.044538,,-0.04454,1.431,0.106798,1.0,0.05323,0.0,0.053231,,-0.05323,1.693,0.127641,0.043974,0.9667,502.677,0.9,47.703939,3,41.165645,0.0799,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
RSI_Overbought + MACD_Hist_Falling,RSI_Overbought + MACD_Hist_Falling,combo_2,28,momentum,Bearish,,,,,,,,,1.0,0.01679,0.0,0.016793,,-0.01679,1.449,0.056548,,,,,,,,,0.025668,0.9762,115.844,0.9643,9.655149,15,13.62596,0.00076,1,0.9643,0.0262,0.00058,0.025281,,-0.02528,2.05,0.085128,0.9643,0.03659,-0.00993,0.034931,115.844,-0.03493,2.51,13.62596,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
Death_Cross_State + BB_Expansion_Bear,Death_Cross_State + BB_Expansion_Bear,combo_2,58,trend,Bearish,,,,,,,,,,,,,,,,,,,,,,,,,0.028702,0.9598,36.43,0.9828,4.189983,20,15.109645,0.0001,1,0.9655,0.01732,-0.02546,0.015847,29.973,-0.01585,1.666,1.936752,,,,,,,,,0.9483,0.05565,-0.0119,0.052159,71.044,-0.05216,2.355,15.109645,0.9655,0.02492,-0.17297,0.018099,8.273,-0.0181,2.885,0.61057,,,,,,,,,VINDHYATEL_data,
BB_Upper_Reject + Williams_Overbought,BB_Upper_Reject + Williams_Overbought,combo_2,13,mean_rev,Bearish,0.8462,0.01811,-0.01723,0.012671,9.822,-0.01267,0.994,0.328457,0.9231,0.03634,-0.00486,0.033173,123.924,-0.03317,1.283,10.848807,0.9231,0.03565,-0.02184,0.031225,28.167,-0.03123,1.518,2.321161,0.02569,0.8974,53.971,0.9231,3.377603,5,10.848807,0.17762,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
BB_Upper_Reject + Stoch_Overbought,BB_Upper_Reject + Stoch_Overbought,combo_2,17,mean_rev,Bearish,0.8235,0.00337,-0.01194,0.000665,9.444,-0.00066,1.069,0.018145,0.9412,0.01085,-0.00486,0.00993,101.28,-0.00993,1.38,2.906925,0.9412,0.02592,-0.13499,0.016453,4.653,-0.01645,1.633,0.221282,0.009016,0.902,38.459,0.8824,0.88431,5,2.906925,0.07992,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
STRAT_BB_Stoch_Bear,BB_Upper_Reject + Stoch_Overbought,combo_2,17,mean_rev,Bearish,0.8235,0.00337,-0.01194,0.000665,9.444,-0.00066,1.069,0.018145,0.9412,0.01085,-0.00486,0.00993,101.28,-0.00993,1.38,2.906925,0.9412,0.02592,-0.13499,0.016453,4.653,-0.01645,1.633,0.221282,0.009016,0.902,38.459,0.8824,0.88431,5,2.906925,0.07992,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
RSI_Overbought + Stoch_Overbought,RSI_Overbought + Stoch_Overbought,combo_2,54,mean_rev,Bearish,0.8704,0.02333,-0.05415,0.013287,3.7,-0.01329,1.069,0.197006,0.9444,0.03029,-0.08399,0.023941,7.48,-0.02394,1.38,0.717635,0.9444,0.02808,-0.05991,0.023194,12.458,-0.02319,1.633,1.157899,0.020141,0.9198,7.879,0.9259,0.588828,7,1.157899,0.00075,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VINDHYATEL_data,
