SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
OBV_Rising + Price_Above_SMA50 + MACD_Hist_Positive,OBV_Rising + Price_Above_SMA50 + MACD_Hist_Positive,combo_3,34,trend,Bullish,2.5,,,,,,,0.8824,0.04248,-0.01464,0.035761,23.68,0.03576,,,,,,,0.056512,0.9412,85.239,0.9118,15.615045,0.9706,0.06436,-0.0209,0.061849,103.41,0.06185,0.9706,0.07469,-0.01939,0.071927,128.626,0.07193,,,,,,,,,,,,,,,,,,,VMM_data,
OBV_Rising + Price_Above_SMA50 + MACD_Bullish_State,OBV_Rising + Price_Above_SMA50 + MACD_Bullish_State,combo_3,34,trend,Bullish,2.5,,,,,,,0.8824,0.04248,-0.01464,0.035761,23.68,0.03576,,,,,,,0.056512,0.9412,85.239,0.9118,15.615045,0.9706,0.06436,-0.0209,0.061849,103.41,0.06185,0.9706,0.07469,-0.01939,0.071927,128.626,0.07193,,,,,,,,,,,,,,,,,,,VMM_data,
Price_Above_SMA50 + CMF_Positive + MACD_Bullish_State,Price_Above_SMA50 + CMF_Positive + MACD_Bullish_State,combo_3,38,trend,Bullish,2.5,,,,,,,0.7632,0.04781,-0.01355,0.033281,11.308,0.03328,,,,,,,0.052094,0.9035,83.699,0.7895,12.610951,0.9737,0.05226,-0.0209,0.050331,95.465,0.05033,0.9737,0.07516,-0.01939,0.072669,144.325,0.07267,,,,,,,,,,,,,,,,,,,VMM_data,
Price_Above_SMA50 + CMF_Positive + MACD_Hist_Positive,Price_Above_SMA50 + CMF_Positive + MACD_Hist_Positive,combo_3,38,trend,Bullish,2.5,,,,,,,0.7632,0.04781,-0.01355,0.033281,11.308,0.03328,,,,,,,0.052094,0.9035,83.699,0.7895,12.610951,0.9737,0.05226,-0.0209,0.050331,95.465,0.05033,0.9737,0.07516,-0.01939,0.072669,144.325,0.07267,,,,,,,,,,,,,,,,,,,VMM_data,
RSI_Bull_Momentum + Price_Above_SMA50 + MACD_Bullish_State,RSI_Bull_Momentum + Price_Above_SMA50 + MACD_Bullish_State,combo_3,53,trend,Bullish,2.5,,,,,,,0.8491,0.04362,-0.00783,0.035854,29.058,0.03585,,,,,,,0.055675,0.9245,54.365,0.8868,10.706913,0.9623,0.05967,-0.02906,0.056323,55.165,0.05632,0.9623,0.0788,-0.02592,0.074848,78.873,0.07485,,,,,,,,,,,,,,,,,,,VMM_data,
RSI_Bull_Momentum + Price_Above_SMA50 + MACD_Hist_Positive,RSI_Bull_Momentum + Price_Above_SMA50 + MACD_Hist_Positive,combo_3,53,trend,Bullish,2.5,,,,,,,0.8491,0.04362,-0.00783,0.035854,29.058,0.03585,,,,,,,0.055675,0.9245,54.365,0.8868,10.706913,0.9623,0.05967,-0.02906,0.056323,55.165,0.05632,0.9623,0.0788,-0.02592,0.074848,78.873,0.07485,,,,,,,,,,,,,,,,,,,VMM_data,
Price_Above_SMA50 + MACD_Bullish_State,Price_Above_SMA50 + MACD_Bullish_State,combo_2,59,trend,Bullish,2.5,,,,,,,0.8305,0.04141,-0.01292,0.0322,15.687,0.0322,,,,,,,0.051507,0.9209,51.534,0.8644,9.394198,0.9661,0.05563,-0.02906,0.052764,57.402,0.05276,0.9661,0.07291,-0.02592,0.069556,81.513,0.06956,,,,,,,,,,,,,,,,,,,VMM_data,
Price_Above_SMA50 + MACD_Hist_Positive,Price_Above_SMA50 + MACD_Hist_Positive,combo_2,59,trend,Bullish,2.5,,,,,,,0.8305,0.04141,-0.01292,0.0322,15.687,0.0322,,,,,,,0.051507,0.9209,51.534,0.8644,9.394198,0.9661,0.05563,-0.02906,0.052764,57.402,0.05276,0.9661,0.07291,-0.02592,0.069556,81.513,0.06956,,,,,,,,,,,,,,,,,,,VMM_data,
Price_Above_SMA50 + MACD_Bullish_State + MACD_Hist_Positive,Price_Above_SMA50 + MACD_Bullish_State + MACD_Hist_Positive,combo_3,59,trend,Bullish,2.5,,,,,,,0.8305,0.04141,-0.01292,0.0322,15.687,0.0322,,,,,,,0.051507,0.9209,51.534,0.8644,9.394198,0.9661,0.05563,-0.02906,0.052764,57.402,0.05276,0.9661,0.07291,-0.02592,0.069556,81.513,0.06956,,,,,,,,,,,,,,,,,,,VMM_data,
OBV_Trend_Bull + Price_Above_SMA50 + MACD_Bullish_State,OBV_Trend_Bull + Price_Above_SMA50 + MACD_Bullish_State,combo_3,58,trend,Bullish,2.5,,,,,,,0.8276,0.04079,-0.01292,0.03153,15.17,0.03153,,,,,,,0.051052,0.9195,50.38,0.8621,9.04085,0.9655,0.05501,-0.02906,0.052113,55.845,0.05211,0.9655,0.07292,-0.02592,0.069514,80.124,0.06951,,,,,,,,,,,,,,,,,,,VMM_data,
