SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
VWAP_Bull + Price_Above_SMA50 + CCI_Oversold,VWAP_Bull + Price_Above_SMA50 + CCI_Oversold,combo_3,20,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.079237,0.9833,334.136,0.95,76.576045,0.95,0.03874,-0.00232,0.036691,334.136,0.03669,,,,,,,1.0,0.08126,0.0,0.08126,,0.08126,1.0,0.11976,0.0,0.11976,,0.11976,,,,,,,WENDT_data,
Price_Above_SMA50 + CCI_Oversold,Price_Above_SMA50 + CCI_Oversold,combo_2,20,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.079237,0.9833,334.136,0.95,76.576045,0.95,0.03874,-0.00232,0.036691,334.136,0.03669,,,,,,,1.0,0.08126,0.0,0.08126,,0.08126,1.0,0.11976,0.0,0.11976,,0.11976,,,,,,,WENDT_data,
EMA_Bullish_State + Price_Above_SMA50 + CCI_Oversold,EMA_Bullish_State + Price_Above_SMA50 + CCI_Oversold,combo_3,20,trend,Bullish,2.5,,,,,,,,,,,,,,,,,,,0.079237,0.9833,334.136,0.95,76.576045,0.95,0.03874,-0.00232,0.036691,334.136,0.03669,,,,,,,1.0,0.08126,0.0,0.08126,,0.08126,1.0,0.11976,0.0,0.11976,,0.11976,,,,,,,WENDT_data,
OBV_Trend_Bull + CMF_Positive + CDL_Engulfing_Bull,OBV_Trend_Bull + CMF_Positive + CDL_Engulfing_Bull,combo_3,15,momentum,Bullish,1.5,,,,,,,0.8,0.05468,-0.02277,0.039187,10.28,0.03919,,,,,,,0.049781,0.8889,376.41,0.8667,45.026204,0.9333,0.04921,0.00304,0.046135,,0.04614,0.9333,0.06869,-0.00133,0.064021,742.54,0.06402,,,,,,,,,,,,,,,,,,,WENDT_data,
Price_Above_SMA20 + CMF_Positive + CDL_Engulfing_Bull,Price_Above_SMA20 + CMF_Positive + CDL_Engulfing_Bull,combo_3,15,momentum,Bullish,1.5,,,,,,,0.8,0.05468,-0.02277,0.039187,10.28,0.03919,,,,,,,0.049781,0.8889,376.41,0.8667,45.026204,0.9333,0.04921,0.00304,0.046135,,0.04614,0.9333,0.06869,-0.00133,0.064021,742.54,0.06402,,,,,,,,,,,,,,,,,,,WENDT_data,
RSI_Bull_Momentum + CMF_Positive + CDL_Engulfing_Bull,RSI_Bull_Momentum + CMF_Positive + CDL_Engulfing_Bull,combo_3,15,momentum,Bullish,1.5,,,,,,,0.8,0.04262,-0.02277,0.029542,8.162,0.02954,,,,,,,0.043414,0.8889,360.658,0.8667,37.623716,0.9333,0.04187,0.00304,0.039285,,0.03929,0.9333,0.0659,-0.00133,0.061415,713.154,0.06141,,,,,,,,,,,,,,,,,,,WENDT_data,
MACD_Bullish_State + CMF_Positive + CDL_Engulfing_Bull,MACD_Bullish_State + CMF_Positive + CDL_Engulfing_Bull,combo_3,12,momentum,Bullish,1.5,,,,,,,0.75,0.06159,-0.02277,0.040501,8.79,0.0405,,,,,,,0.050758,0.8611,305.652,0.8333,33.160872,0.9167,0.05129,0.00304,0.047271,,0.04727,0.9167,0.07049,-0.00133,0.064501,602.514,0.0645,,,,,,,,,,,,,,,,,,,WENDT_data,
MACD_Hist_Positive + CMF_Positive + CDL_Engulfing_Bull,MACD_Hist_Positive + CMF_Positive + CDL_Engulfing_Bull,combo_3,12,momentum,Bullish,1.5,,,,,,,0.75,0.06159,-0.02277,0.040501,8.79,0.0405,,,,,,,0.050758,0.8611,305.652,0.8333,33.160872,0.9167,0.05129,0.00304,0.047271,,0.04727,0.9167,0.07049,-0.00133,0.064501,602.514,0.0645,,,,,,,,,,,,,,,,,,,WENDT_data,
Price_Above_SMA20 + Stoch_Bull_Zone + CDL_Engulfing_Bull,Price_Above_SMA20 + Stoch_Bull_Zone + CDL_Engulfing_Bull,combo_3,17,momentum,Bullish,1.5,,,,,,,0.8235,0.03321,-0.01797,0.024178,9.383,0.02418,,,,,,,0.02843,0.902,305.205,0.8824,22.129298,0.9412,0.02404,0.00304,0.022805,,0.02281,0.9412,0.04078,-0.00133,0.038307,601.028,0.03831,,,,,,,,,,,,,,,,,,,WENDT_data,
MACD_Bullish_State + Stoch_Bull_Zone + CDL_Engulfing_Bull,MACD_Bullish_State + Stoch_Bull_Zone + CDL_Engulfing_Bull,combo_3,13,momentum,Bullish,1.5,,,,,,,0.8462,0.02886,-0.0276,0.020177,7.152,0.02018,,,,,,,0.025973,0.8974,234.635,0.9231,14.845698,0.9231,0.02455,0.00304,0.022897,,0.0229,0.9231,0.03786,-0.00133,0.034844,462.118,0.03484,,,,,,,,,,,,,,,,,,,WENDT_data,
