SignalName,Components,Type,Count,HorizonClass,Direction,MinMovePct,WinRate_MFE_3D,AvgWin_3D,AvgLoss_3D,EV_3D,ProfitFactor_3D,AvgReturn_Close_3D,WinRate_MFE_5D,AvgWin_5D,AvgLoss_5D,EV_5D,ProfitFactor_5D,AvgReturn_Close_5D,WinRate_MFE_7D,AvgWin_7D,AvgLoss_7D,EV_7D,ProfitFactor_7D,AvgReturn_Close_7D,AvgEV,AvgWinRate,AvgProfitFactor,Consistency,CompositeScore,WinRate_MFE_10D,AvgWin_10D,AvgLoss_10D,EV_10D,ProfitFactor_10D,AvgReturn_Close_10D,WinRate_MFE_15D,AvgWin_15D,AvgLoss_15D,EV_15D,ProfitFactor_15D,AvgReturn_Close_15D,WinRate_MFE_20D,AvgWin_20D,AvgLoss_20D,EV_20D,ProfitFactor_20D,AvgReturn_Close_20D,WinRate_MFE_30D,AvgWin_30D,AvgLoss_30D,EV_30D,ProfitFactor_30D,AvgReturn_Close_30D,WinRate_MFE_2D,AvgWin_2D,AvgLoss_2D,EV_2D,ProfitFactor_2D,AvgReturn_Close_2D,Symbol,Company
VWAP_Bull + CCI_Oversold + Williams_Oversold,VWAP_Bull + CCI_Oversold + Williams_Oversold,combo_3,69,momentum,Bullish,1.5,,,,,,,0.9565,0.04281,-0.02832,0.03972,38.979,0.03972,,,,,,,0.040986,0.9662,175.385,0.971,29.65448,0.9565,0.05186,-0.02916,0.048341,45.015,0.04834,0.9855,0.03553,-0.00788,0.034897,442.162,0.0349,,,,,,,,,,,,,,,,,,,YUKEN_data,
Williams_Oversold + VWAP_Bull,Williams_Oversold + VWAP_Bull,combo_2,124,momentum,Bullish,1.5,,,,,,,0.9435,0.02379,-0.03636,0.02039,14.961,0.02039,,,,,,,0.025103,0.9651,224.397,0.9516,25.881626,0.9597,0.03607,-0.03692,0.033127,30.603,0.03313,0.9919,0.02203,-0.00788,0.021791,627.627,0.02179,,,,,,,,,,,,,,,,,,,YUKEN_data,
OBV_Trend_Bull + CCI_Oversold,OBV_Trend_Bull + CCI_Oversold,combo_2,67,momentum,Bullish,1.5,,,,,,,0.9403,0.03169,-0.04336,0.027208,15.88,0.02721,,,,,,,0.027396,0.9652,159.884,0.9552,17.654695,0.9701,0.02901,-0.03273,0.027166,45.614,0.02717,0.9851,0.02836,-0.00788,0.027815,418.158,0.02781,,,,,,,,,,,,,,,,,,,YUKEN_data,
OBV_Trend_Bull + CCI_Oversold + Williams_Oversold,OBV_Trend_Bull + CCI_Oversold + Williams_Oversold,combo_3,44,momentum,Bullish,1.5,,,,,,,0.9545,0.04042,-0.03569,0.036965,31.881,0.03696,,,,,,,0.03603,0.9621,128.425,0.9773,17.2137,0.9545,0.04157,-0.03273,0.038195,37.099,0.03819,0.9773,0.03388,-0.00788,0.032931,316.295,0.03293,,,,,,,,,,,,,,,,,,,YUKEN_data,
EMA_Bullish_State + Williams_Oversold,EMA_Bullish_State + Williams_Oversold,combo_2,78,momentum,Bullish,1.5,,,,,,,0.9615,0.03032,-0.00856,0.028826,79.375,0.02883,,,,,,,0.037899,0.9872,79.375,0.9615,12.638854,1.0,0.04436,0.0,0.044355,,0.04436,1.0,0.04052,0.0,0.040516,,0.04052,,,,,,,,,,,,,,,,,,,YUKEN_data,
OBV_Rising + CCI_Oversold + Williams_Oversold,OBV_Rising + CCI_Oversold + Williams_Oversold,combo_3,25,momentum,Bullish,1.5,,,,,,,0.96,0.04913,-0.01077,0.046732,123.831,0.04673,,,,,,,0.032579,0.9867,123.831,0.96,12.61854,1.0,0.03547,0.0,0.035475,,0.03547,1.0,0.01553,0.0,0.015532,,0.01553,,,,,,,,,,,,,,,,,,,YUKEN_data,
OBV_Trend_Bull + Williams_Oversold,OBV_Trend_Bull + Williams_Oversold,combo_2,83,momentum,Bullish,1.5,,,,,,,0.9277,0.0195,-0.04016,0.015184,10.763,0.01518,,,,,,,0.018309,0.9558,161.391,0.9398,12.304085,0.9518,0.02525,-0.04064,0.02207,21.977,0.02207,0.988,0.01799,-0.00788,0.017674,451.432,0.01767,,,,,,,,,,,,,,,,,,,YUKEN_data,
EMA_Bullish_State + CCI_Oversold + Williams_Oversold,EMA_Bullish_State + CCI_Oversold + Williams_Oversold,combo_3,44,momentum,Bullish,1.5,,,,,,,0.9545,0.04919,-0.01695,0.046182,64.838,0.04618,,,,,,,0.048693,0.9848,64.838,0.9545,11.472007,1.0,0.04988,0.0,0.049879,,0.04988,1.0,0.05002,0.0,0.05002,,0.05002,,,,,,,,,,,,,,,,,,,YUKEN_data,
OBV_Trend_Bull + VWAP_Bull + CCI_Oversold,OBV_Trend_Bull + VWAP_Bull + CCI_Oversold,combo_3,36,momentum,Bullish,1.5,,,,,,,0.9167,0.0397,-0.04163,0.032926,13.829,0.03293,,,,,,,0.032479,0.9444,100.541,0.9444,11.136275,0.9444,0.03822,-0.03273,0.034283,29.423,0.03428,0.9722,0.03132,-0.00788,0.030228,258.372,0.03023,,,,,,,,,,,,,,,,,,,YUKEN_data,
VWAP_Bull + CCI_Oversold + BB_Lower_Touch,VWAP_Bull + CCI_Oversold + BB_Lower_Touch,combo_3,23,momentum,Bullish,1.5,,,,,,,0.913,0.04885,-0.03569,0.041501,16.418,0.0415,,,,,,,0.052127,0.9275,70.049,0.9565,11.100043,0.913,0.06879,-0.03273,0.059958,23.12,0.05996,0.9565,0.05778,-0.00788,0.054923,170.61,0.05492,,,,,,,,,,,,,,,,,,,YUKEN_data,
